Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
HDFC Gilt Fund - Direct Plan,2418.16,26.42,10,6.18,3,4.89,7,6.27,8,12.86,9,9.76,9,9.46,12,9.01,10,8.09,11,7.87,11,5.67,13,5.09,12,6.34,12,6.04,13,7.91,12,7.62,-,12.92
Bandhan Government Securities Fund - Investment Plan - Direct Plan,2190.88,34.07,1,2.98,13,5.67,2,12.63,1,20.41,1,12.93,1,15.57,1,12.93,1,10.48,1,8.99,3,6.43,5,5.79,6,7.77,3,7.79,2,9.09,5,9.01,-,28.95
Nippon India Gilt Securities Fund - Direct Plan,1864.74,30.29,6,6.73,2,5.08,5,6.13,9,13.96,7,10.02,7,11.19,5,10.1,6,8.48,7,8.63,6,6.19,8,5.45,8,7.17,8,7.57,3,9.43,1,9.19,-,14.64
Baroda BNP Paribas Gilt Fund - Direct Plan,1626.13,22.12,12,5.78,7,5.08,6,5,11,11.2,10,8.55,10,10.39,10,8.94,11,7.62,13,8.17,10,5.78,11,5.15,11,6.26,13,6.41,11,7.8,13,7.76,-,9.47
DSP Gilt Fund - Direct Plan,1012.28,31.95,3,3.44,12,5.97,1,11.03,2,17.41,2,11.43,2,13.62,2,11.52,2,9.59,2,8.86,4,6.7,3,6.15,3,7.96,1,7.83,1,8.87,7,8.3,-,34.42
Tata Gilt Securities Fund - Direct Plan,727.56,27.97,8,7.17,1,4.75,8,5.28,10,9.72,13,7.86,13,10.41,9,9.34,9,8.17,10,8.3,8,6.27,6,5.22,10,6.36,11,6.31,12,8,11,8.05,-,7.33
UTI Gilt Fund - Direct Plan,621.38,26.26,11,6.15,4,2.97,13,2.11,13,11.08,11,8.44,11,10.11,11,8.78,12,7.91,12,7.75,13,5.69,12,4.89,13,6.44,10,6.54,10,8.47,9,8.32,-,12.4
Axis Gilt Fund - Direct Plan,353.85,27.65,9,5.69,8,5.12,4,6.74,6,14.09,5,10.58,4,11.64,3,10.7,3,9.1,3,8.25,9,6.16,9,5.94,5,7.56,6,7.17,8,8.23,10,7.65,-,16.47
HSBC Gilt Fund - Direct Plan,199.45,30.55,5,5.98,6,4.49,9,6.87,5,14.02,6,10.14,6,11.08,6,10.25,5,8.65,6,7.84,12,5.88,10,5.28,9,6.67,9,6.74,9,8.5,8,8.76,-,11.41
NIFTY All Duration G-Sec Index,,26.68,,7.1,,5.5,,7.86,,13.98,,10.05,,11.23,,10.31,,8.75,,8.96,,6.04,,5.37,,6.77,,6.91,,7.88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,11,,11,,12,
Peer Average,,10.47,,10.62,,8.66,,7.88,,7.58,,7.47,,7.88,,7.7,,7.64,,7.26,,6.08,,5.59,,6.03,,6.38,,6.89,,,,
Aditya Birla Sun Life Money Manager Fund - Direct Plan,23737.6,10.96,2,10.75,4,8.75,2,7.95,4,7.62,4,7.52,4,7.98,2,7.8,2,7.74,2,7.36,2,6.19,3,5.73,2,6.23,2,6.7,1,7.11,2,7.41,-,0.66
Axis Money Market Fund - Direct Plan,8369.16,9.74,12,10.64,5,8.78,1,7.99,2,7.69,2,7.53,2,7.95,4,7.76,4,7.69,4,7.3,4,6.15,4,5.66,4,-,-,-,-,-,-,6.1,-,0.68
Bandhan Money Manager Fund - Direct Plan,5068.9,10.56,7,10.51,9,8.65,6,7.8,10,7.51,10,7.43,10,7.83,10,7.63,10,7.58,10,7.18,10,5.99,10,5.43,10,5.81,10,6.13,10,6.87,9,7.19,-,0.67
DSP Savings Fund - Direct Plan,4605.33,9.92,10,10.3,12,8.49,12,7.68,12,7.43,12,7.35,11,7.71,11,7.58,11,7.49,11,7.17,11,5.83,11,5.35,11,5.84,9,6.28,8,6.58,10,6.98,-,0.74
HDFC Money Market Fund - Direct Plan,22479.76,10.76,5,10.46,11,8.56,11,7.83,9,7.57,8,7.48,7,7.88,6,7.69,7,7.63,7,7.27,6,6.13,6,5.65,6,6.2,3,6.6,2,7.01,3,7.31,-,0.63
ICICI Prudential Money Market Fund - Direct Plan,22485.24,11.28,1,10.61,7,8.61,9,7.88,7,7.58,6,7.46,9,7.86,8,7.68,8,7.62,8,7.26,7,6.08,9,5.59,8,6.05,6,6.51,6,6.96,6,7.26,-,0.68
Invesco India Money Market Fund - Direct Plan,4008.03,9.84,11,10.8,2,8.61,10,7.76,11,7.43,11,7.32,12,7.63,12,7.5,12,7.41,12,7.1,12,5.8,12,5.34,12,5.75,11,6.28,9,6.92,7,7.3,-,0.73
Kotak Money Market Fund - Direct Plan,20244.6,10.6,6,10.59,8,8.62,8,7.85,8,7.57,9,7.46,8,7.92,5,7.73,5,7.66,6,7.23,9,6.12,7,5.58,9,5.95,8,6.44,7,6.91,8,7.23,-,0.62
Nippon India Money Market Fund - Direct Plan,16562.01,10.88,4,10.87,1,8.74,3,7.97,3,7.61,5,7.5,6,7.97,3,7.78,3,7.71,3,7.32,3,6.2,2,5.69,3,6.09,5,6.59,3,7.01,4,7.31,-,0.62
SBI Savings Fund - Direct Plan,24347.58,10,9,10.76,3,8.7,5,7.92,5,7.63,3,7.53,3,7.86,7,7.68,9,7.62,9,7.24,8,6.09,8,5.63,7,6.1,4,6.55,4,7.22,1,7.54,-,0.6
Tata Money Market Fund - Direct Plan,18756.93,10.89,3,10.63,6,8.74,4,8,1,7.69,1,7.58,1,8.08,1,7.91,1,7.84,1,7.44,1,6.28,1,5.83,1,6.24,1,5.55,11,6.27,11,6.66,-,0.64
UTI Money Market Fund Institutional - Direct Plan,14121.21,10.23,8,10.51,10,8.63,7,7.91,6,7.58,7,7.52,5,7.85,9,7.69,6,7.66,5,7.28,5,6.15,5,5.66,5,6.05,7,6.55,5,6.99,5,7.29,-,0.62
NIFTY Money Market Index,,9.43,,8.87,,7.88,,7.73,,7.56,,7.55,,7.81,,7.67,,7.64,,7.19,,6.01,,5.44,,5.65,,6.1,,6.69,,,,
NIFTY Money Market Index B-I,,9.69,,8.76,,7.9,,7.81,,7.61,,7.62,,7.88,,7.73,,7.7,,7.24,,6.02,,5.4,,5.61,,6.07,,6.68,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,11,
Peer Average,,9.89,,9.53,,8.15,,7.8,,7.65,,7.46,,7.84,,7.58,,7.57,,7.27,,6.2,,5.92,,6.59,,6.62,,7.27,,,,
Aditya Birla Sun Life Low Duration Fund - Direct Plan,12133.88,10.37,3,9.71,3,8.47,2,8.01,3,7.87,1,7.57,3,7.92,5,7.74,1,7.72,3,7.43,4,6.31,2,6.13,3,6.85,2,7.16,1,7.71,2,7.99,-,1.3
ICICI Prudential Savings Fund - Direct Plan,19172.2,10.81,2,9.39,8,8.02,9,7.89,5,7.6,8,7.52,5,8.08,1,7.63,5,7.91,1,7.91,1,6.17,5,6.03,5,6.68,6,6.94,4,7.52,3,7.81,-,2.18
HDFC Low Duration Fund - Direct Plan,17516.3,9.66,9,10.02,1,8.39,3,8.1,2,7.78,4,7.72,2,8.02,3,7.65,3,7.84,2,7.57,2,6.24,3,6.21,2,6.75,4,6.95,3,7.48,4,7.69,-,2.06
SBI Magnum Low Duration Fund - Direct Plan,9681.07,8.32,11,9.27,10,8.33,4,7.92,4,7.78,3,7.5,6,7.82,7,7.62,6,7.55,6,7.19,7,5.96,8,5.58,9,6.27,9,6.62,7,7.15,8,7.42,-,1.61
Kotak Low Duration Fund - Standard Plan - Direct Plan,9154.4,11,1,9.55,5,8.54,1,8.12,1,7.84,2,7.73,1,8.05,2,7.68,2,7.71,4,7.49,3,6.17,4,5.99,6,6.83,3,7.16,2,7.93,1,7.94,-,2.08
Nippon India Low Duration Fund - Direct Plan,5789.66,9.02,10,9.53,6,8.1,6,7.69,9,7.53,9,7.42,7,7.79,8,7.59,7,7.54,7,7.2,6,6.17,6,6.1,4,6.75,5,6.75,6,7.32,6,7.64,-,1.15
Axis Treasury Advantage Fund - Direct Plan,5468.05,9.94,5,9.13,11,8.16,5,7.75,6,7.66,5,7.56,4,7.92,4,7.64,4,7.57,5,7.24,5,6.06,7,5.76,7,6.45,7,6.88,5,7.39,5,7.69,-,1.13
Bandhan Low Duration Fund - Direct Plan,5064.23,9.77,8,9.5,7,7.71,11,7.46,10,7.48,10,7.19,10,7.5,11,7.41,10,7.29,11,6.98,10,5.74,11,5.37,11,6.07,11,6.48,9,7.15,7,7.48,-,1.01
DSP Low Duration Fund - Direct Plan,4315.8,9.82,7,9.67,4,8.04,8,7.73,7,7.61,7,7.4,8,7.72,9,7.45,9,7.37,9,7.02,9,5.85,10,5.48,10,6.38,8,6.6,8,-,-,7.11,-,1.02
UTI Low Duration Fund - Direct Plan,2455.66,10.19,4,9.37,9,7.86,10,7.43,11,7.33,11,7.12,11,7.55,10,7.38,11,7.32,10,6.98,11,7.62,1,6.83,1,7.27,1,5.46,11,6.46,10,6.87,-,0.96
Tata Treasury Advantage Fund - Direct Plan,2319.17,9.9,6,9.75,2,8.07,7,7.72,8,7.62,6,7.35,9,7.84,6,7.56,8,7.47,8,7.02,8,5.87,9,5.6,8,6.24,10,5.77,10,6.61,9,6.98,-,0.95
CRISIL Low Duration Debt B-I Index ( 02-Jul-2024 ) ,,11.28,,8.5,,8.04,,8.03,,7.7,,7.67,,7.9,,7.73,,7.71,,7.44,,6.27,,5.91,,6.31,,6.61,,7.26,,,,
NIFTY Low Duration Debt Index,,10.15,,8.38,,7.81,,7.76,,7.64,,7.62,,7.93,,7.65,,7.63,,7.26,,6.03,,5.66,,6.14,,6.49,,7.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking & PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,11,
Peer Average,,11.6,,9.09,,7.38,,7.12,,8.64,,7.18,,7.97,,7.63,,7.38,,7.1,,5.72,,5.6,,6.91,,7.1,,7.69,,,,
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,10110.55,13.58,5,9.61,5,7.72,2,7.13,5,8.98,2,7.47,3,7.95,7,7.72,4,7.43,5,7.14,5,5.88,3,5.8,4,7.05,6,7.16,6,8.12,1,8.44,-,4.91
Axis Banking & PSU Debt Fund - Direct Plan,13660.32,10.53,8,7.6,10,7.02,9,6.55,10,7.46,11,6.57,11,7.35,11,7.17,11,7.03,11,6.57,11,5.56,9,5.42,8,6.72,8,7.18,5,7.58,7,7.79,-,2.89
Bandhan Banking & PSU Debt Fund - Direct Plan,14279.57,15.5,2,10.01,3,7.03,8,6.9,7,8.31,9,7.09,7,7.51,9,7.33,10,7.1,9,6.85,10,5.64,7,5.55,6,7.08,5,7.36,1,7.55,8,7.76,-,3
DSP Banking & PSU Debt Fund - Direct Plan,2505.18,19.13,1,10.15,2,9.09,1,8.86,1,10.37,1,7.63,1,9.18,1,8.21,1,7.68,2,7.12,6,5.71,6,5.45,7,6.92,7,6.97,9,7.72,5,7.97,-,8.49
HDFC Banking and PSU Debt Fund - Direct Plan,6297.89,10.8,6,8.74,8,7.33,6,6.76,8,8.75,5,7.15,6,7.99,6,7.63,7,7.47,4,7.21,4,5.82,5,5.91,3,7.11,4,7.19,4,7.91,3,7.96,-,4.48
HSBC Banking and PSU Debt Fund - Direct Plan,4731.55,10.56,7,9.71,4,7.48,5,7.34,4,7.8,10,6.96,10,7.45,10,7.37,9,7.08,10,6.92,8,4.91,11,4.93,11,6.47,10,6.6,11,7.28,9,7.48,-,1.86
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,9403.8,14.31,4,9.26,6,6.61,10,6.93,6,8.57,7,7.57,2,8.06,5,7.69,6,7.82,1,7.81,1,6.42,1,6.31,1,7.21,2,7.09,7,8.04,2,8.18,-,5.73
Kotak Banking and PSU Debt Fund - Direct Plan,5967.83,4.44,11,6.74,11,7.03,7,6.23,11,8.76,4,7.2,5,8.1,4,7.91,2,7.65,3,7.46,2,6.04,2,5.96,2,7.16,3,7.35,2,7.88,4,8.16,-,7.88
LIC MF Banking & PSU Fund - Direct Plan,1410.12,7.01,9,9.18,7,7.72,3,7.42,3,8.57,8,7.08,8,8.12,2,7.7,5,7.31,7,6.86,9,5.56,8,5.21,10,6.36,11,6.89,10,7.16,10,7.37,-,3.99
Nippon India Banking & PSU Debt Fund - Direct Plan,5628.09,6.84,10,8.59,9,7.72,4,6.68,9,8.83,3,7.23,4,8.11,3,7.74,3,7.35,6,7.22,3,5.84,4,5.75,5,7.22,1,7.26,3,-,-,7.73,-,5.08
SBI Banking and PSU Fund - Direct Plan,4199.91,14.94,3,10.38,1,6.43,11,7.5,2,8.65,6,7.01,9,7.91,8,7.49,8,7.26,8,6.94,7,5.49,10,5.28,9,6.67,9,7.07,8,7.63,6,7.89,-,8.83
NIFTY Financial Services Index,,656.82,,73.17,,111.34,,71.47,,58.37,,51.59,,25.16,,28.28,,18.12,,23.65,,13.3,,21.78,,11.68,,14.06,,14.19,,,,
NIFTY Financial Services Total Return Index,,656.82,,74.03,,112.67,,72.4,,62.58,,54.49,,26.75,,29.51,,19.26,,24.8,,14.31,,22.78,,12.49,,14.86,,15.09,,,,
NIFTY Bank,,644.49,,21.57,,85.79,,50.34,,50.95,,46.03,,22.64,,26.07,,17.56,,25.69,,15.08,,24.83,,11.07,,12.49,,13.13,,,,
NIFTY Bank Total Return Index,,644.49,,24.83,,88.2,,51.47,,55.11,,48.89,,24.07,,27.09,,18.61,,26.78,,16,,25.66,,11.71,,13.08,,13.8,,,,
NIFTY Banking and PSU Debt Index,,9.84,,5.69,,6.21,,6.39,,7.98,,6.77,,7.78,,7.32,,7.13,,7.01,,5.43,,5.41,,6.67,,6.52,,7.31,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,8,,9,
Peer Average,,18.7,,8.2,,6.81,,7.27,,9.74,,8,,8.76,,8.49,,7.89,,8.69,,6.99,,7.19,,7.59,,7.18,,8.23,,,,
Aditya Birla Sun Life Medium Term Plan - Direct Plan,1859.15,24.85,2,8.75,3,7.09,3,12.39,1,12.39,1,9.96,1,9.61,2,8.82,3,8.13,3,16.16,1,13.44,1,12.74,1,9.54,1,8.35,1,9.08,1,9.42,-,5.23
Axis Strategic Bond Fund - Direct Plan,1931.97,15.25,7,6.89,8,8.07,1,7.25,2,10.22,2,8.62,2,9.45,3,9.01,2,8.28,2,8.18,2,6.83,2,7.17,3,7.94,3,7.59,3,8.69,3,8.59,-,5.64
Bandhan Bond Fund Medium Term Plan - Direct Plan,1557.45,22.35,3,9.06,2,6.14,8,6.17,9,8.93,8,7.2,8,7.74,8,8.23,5,7.18,9,7.08,9,5.11,9,4.9,9,6.39,9,6.62,8,7.52,7,7.57,-,5.01
DSP Bond Fund - Direct Plan,356.2,17.25,4,9.62,1,6.78,5,6.68,4,8.2,9,6.69,9,7.74,9,7.78,9,7.31,8,7.33,8,5.6,8,5.37,8,6.47,8,5.56,9,7,8,6.93,-,4.02
HDFC Medium Term Debt Fund - Direct Plan,4173.35,16.08,6,7.89,7,6.53,7,6.59,6,9.63,5,7.81,6,8.53,5,8.09,7,7.7,6,7.79,7,6.19,7,6.79,6,7.37,7,7.33,5,8.04,6,8.15,-,5.32
HSBC Medium Duration Fund - Direct Plan,809.4,14.18,9,8.17,6,7.04,4,6.6,5,9.9,4,8.5,3,9.13,4,8.53,4,8.03,4,7.99,3,6.29,5,7.05,4,7.38,6,6.87,7,-,-,7.83,-,5.23
ICICI Prudential Medium Term Bond Fund - Direct Plan,6214.24,16.86,5,8.25,5,7.44,2,6.26,8,9.11,7,8.02,4,8.34,7,8.19,6,7.78,5,7.92,5,6.61,4,7.24,2,7.97,2,7.53,4,8.39,4,8.46,-,5.15
Kotak Medium Term Fund - Direct Plan,1744.99,26.47,1,8.3,4,5.41,9,6.55,7,10.01,3,7.39,7,9.92,1,9.84,1,8.99,1,7.96,4,6.67,3,6.98,5,7.43,5,7.02,6,8.21,5,8.38,-,5.9
SBI Magnum Medium Duration Fund - Direct Plan,6102.24,15,8,6.89,9,6.75,6,6.92,3,9.27,6,7.85,5,8.39,6,7.94,8,7.6,7,7.82,6,6.2,6,6.43,7,7.78,4,7.76,2,8.91,2,8.98,-,5
CRISIL Medium Term Debt Index ( 02-Jul-2024 ) ,,7.73,,-0.14,,5.28,,6.08,,7.52,,6.43,,7.5,,6.89,,6.71,,7,,5.29,,5.45,,7.19,,6.92,,7.95,,,,
CRISIL Medium Duration Debt C-III Index ( 02-Jul-2024 ) ,,11.07,,-0.82,,6.77,,7.93,,9.29,,8.09,,8.67,,7.01,,7.87,,10.63,,8.93,,9.52,,9.35,,8.53,,9.46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra Short Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,5,,5,,8,
Peer Average,,9.91,,9.6,,8.19,,7.68,,7.48,,7.45,,7.76,,7.61,,7.56,,7.12,,6.12,,5.65,,6.07,,6.38,,7.03,,,,
Aditya Birla Sun Life Savings Fund - Direct Plan,13579.62,9.69,5,10.09,1,8.44,1,7.72,3,7.55,2,7.54,2,7.96,1,7.72,3,7.71,1,7.22,2,6.15,3,5.83,2,6.34,2,6.76,1,7.42,1,7.73,-,0.55
Axis Ultra Short Term Fund - Direct Plan,5152.32,11.34,1,9.63,4,8.43,2,7.85,1,7.62,1,7.58,1,7.89,2,7.73,2,7.67,2,7.28,1,6.18,2,5.81,3,6.19,3,-,-,-,-,6.58,-,0.53
Bandhan Ultra Short Term Fund - Direct Plan,3889.69,9.18,7,9.12,8,7.61,8,7.45,8,7.34,8,7.3,8,7.62,8,7.46,8,7.41,8,6.99,8,5.82,8,5.27,8,5.75,8,-,-,-,-,6.2,-,0.49
DSP Ultra Short Fund - Direct Plan,2684.08,10.18,3,9.86,2,8.17,7,7.75,2,7.5,5,7.4,6,7.7,6,7.78,1,7.67,3,7.15,3,6,4,5.45,6,5.82,7,6.06,5,6.71,5,7.09,-,0.48
HDFC Ultra Short Term Fund - Direct Plan,14314.83,10.16,4,9.45,6,8.17,6,7.7,4,7.5,4,7.52,3,7.8,3,7.59,5,7.54,5,7.12,4,6,6,5.62,4,6.09,4,-,-,-,-,6.48,-,0.49
Kotak Savings Fund - Direct Plan,12840.69,10.33,2,9.57,5,8.33,3,7.68,5,7.51,3,7.43,5,7.75,5,7.49,7,7.48,6,7.1,6,6,5,5.51,5,6,5,6.48,2,7.13,2,7.43,-,0.74
SBI Magnum Ultra Short Duration Fund - Direct Plan,10548.21,9.59,6,9.42,7,8.18,5,7.61,7,7.41,7,7.36,7,7.64,7,7.51,6,7.45,7,7.01,7,5.85,7,5.37,7,5.85,6,6.4,3,6.87,4,7.19,-,0.49
UTI Ultra Short Duration Fund - Direct,2514.62,8.82,8,9.67,3,8.18,4,7.67,6,7.43,6,7.48,4,7.76,4,7.6,4,7.56,4,7.11,5,6.95,1,6.32,1,6.47,1,6.2,4,7.04,3,7.44,-,0.47
CRISIL Ultra Short Term Debt Index ( 02-Jul-2024 ) ,,11.13,,8.72,,7.86,,7.67,,7.64,,7.63,,7.93,,7.8,,7.76,,7.4,,6.32,,5.86,,6.18,,6.61,,7.07,,,,
NIFTY Ultra Short Duration Debt Index B-I,,10.14,,8.17,,7.73,,7.86,,7.72,,7.84,,8.04,,7.9,,7.9,,7.49,,6.34,,5.81,,6.14,,6.57,,7.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overnight Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,3,,3,,7,
Peer Average,,6.46,,6.58,,6.57,,6.52,,6.56,,6.56,,6.66,,6.76,,6.8,,6.45,,5.46,,4.86,,4.78,,5.12,,5.82,,,,
Aditya Birla Sun Life Overnight Fund - Direct Plan,9220.97,6.33,4,6.55,6,6.55,6,6.53,4,6.57,4,6.57,4,6.68,3,6.78,3,6.82,3,6.47,3,5.48,2,4.88,2,4.8,2,-,-,-,-,4.97,-,0.01
HDFC Overnight Fund - Direct Plan,11144.03,7.27,1,6.64,1,6.57,4,6.49,7,6.52,7,6.52,7,6.62,7,6.73,7,6.77,7,6.42,7,5.42,7,4.83,7,4.75,7,5.13,2,5.68,3,6.01,-,0.01
ICICI Prudential Overnight Fund - Direct Plan,10166.12,6.31,6,6.54,7,6.54,7,6.51,6,6.55,6,6.56,5,6.65,5,6.75,5,6.8,5,6.45,5,5.45,5,4.86,5,4.77,5,-,-,-,-,4.94,-,0.01
Kotak Overnight Fund - Direct Plan,5473.56,6.33,3,6.57,4,6.58,3,6.54,3,6.57,3,6.57,3,6.67,4,6.77,4,6.82,4,6.47,2,5.47,3,4.87,4,4.78,4,-,-,-,-,4.9,-,0.01
Nippon India Overnight Fund - Direct Plan,7082.62,6.34,2,6.6,3,6.6,1,6.55,1,6.58,1,6.58,2,6.69,1,6.79,1,6.83,1,6.48,1,5.49,1,4.89,1,4.81,1,-,-,-,-,4.96,-,0.01
SBI Overnight Fund - Direct Plan,15032.54,6.29,7,6.55,5,6.55,5,6.51,5,6.55,5,6.55,6,6.63,6,6.73,6,6.77,6,6.42,6,5.44,6,4.85,6,4.76,6,5.16,1,5.82,2,6.24,-,0
UTI Overnight Fund - Direct Plan,6064.84,6.33,5,6.61,2,6.58,2,6.54,2,6.58,2,6.59,1,6.68,2,6.78,2,6.82,2,6.46,4,5.47,4,4.87,3,4.79,3,5.07,3,5.97,1,6.26,-,0.01
CRISIL Liquid Overnight Index ( 02-Jul-2024 ) ,,6.35,,6.61,,6.6,,6.56,,6.59,,6.6,,6.7,,6.81,,6.86,,6.52,,5.53,,4.94,,4.84,,5.21,,5.76,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Year Corporate Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
Peer Average,,20.41,,6.78,,6.44,,7.14,,11.27,,8.18,,9.24,,8.3,,7.35,,7.74,,5.69,,5.66,,7.21,,7.09,,8.34,,,,
Aditya Birla Sun Life Income Fund - Direct Plan,1848.85,22.77,1,7.14,1,6.18,2,6.84,2,12.34,1,9.05,1,9.46,1,8.7,1,7.4,1,7.57,2,5.82,1,5.78,1,7.19,2,6.92,2,8.19,2,7.91,-,11.97
Axis Dynamic Bond Fund - Direct Plan,1702.66,18.04,2,6.42,2,6.7,1,7.44,1,10.2,2,7.31,2,9.03,2,7.91,2,7.3,2,7.91,1,5.56,2,5.54,2,7.23,1,7.26,1,8.49,1,8.47,-,9.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,12,,12,,12,,11,,13,
Peer Average,,9.76,,9.46,,8.08,,7.78,,7.74,,7.5,,7.89,,7.59,,7.64,,7.28,,6.17,,5.87,,6.56,,6.61,,7.26,,,,
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,12802.24,9.05,10,9.66,4,8.51,2,8.03,3,7.84,3,7.55,5,8.13,2,7.77,2,7.9,3,7.53,4,6.33,2,6.02,5,6.77,3,7.06,2,7.69,2,7.97,-,2.12
Axis Treasury Advantage Fund - Direct Plan,5468.05,9.94,5,9.13,12,8.16,5,7.75,6,7.66,6,7.56,4,7.92,6,7.64,5,7.57,6,7.24,6,6.06,8,5.76,7,6.45,7,6.88,5,7.39,5,7.69,-,1.13
Bandhan Low Duration Fund - Direct Plan,5064.23,9.77,8,9.5,8,7.71,12,7.46,12,7.48,12,7.19,12,7.5,13,7.41,11,7.29,13,6.98,11,5.74,13,5.37,12,6.07,12,6.48,10,7.15,8,7.48,-,1.01
