Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Invesco India Gold ETF FoF,74.93,14.04,6,0.77,5,1.2,3,1.12,1,0.94,1,1.25,5,4.09,5,14.05,6,25.98,2,23.62,3,16.3,10,13.93,3,14.13,10,13.03,3,8.57,6,6.25,6,-,-,23.98,5,6.09,-
Kotak Gold Fund - Regular Plan,1864.33,13.61,8,0.67,6,0.87,11,0.58,6,0.62,6,1.13,7,3.93,8,13.81,10,25.68,7,23.04,7,16.67,9,13.38,10,15.1,3,12.97,4,8.57,5,6.22,7,-,-,24.16,2,8.2,-
LIC MF Gold ETF FoF,54.11,13.36,12,0.36,13,0.31,13,0.49,10,0.59,7,0.52,13,3.42,12,13.47,12,25.45,10,22.81,10,16.98,3,13.96,2,14.23,9,12.53,9,7.89,10,-,-,-,-,23.4,11,5.63,-
Motilal Oswal Gold and Silver ETFs FoF - Regular Plan,71.34,15.96,2,1.08,1,1.49,2,0.6,5,0.25,11,4.07,2,7.16,2,16.17,2,25.85,4,23.96,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.69,9,22.76,-
Nippon India Gold Savings Fund,1877.33,13.61,9,0.58,7,1,6,0.58,7,0.76,4,0.92,8,3.82,10,13.89,8,24.74,13,22.81,11,16.86,7,13.61,8,14.75,6,12.69,8,8.4,8,6.09,8,-,-,23.57,10,8.12,-
Quantum Gold Savings - Regular Plan,116.72,13.54,11,0.51,9,0.99,7,0.39,13,0.46,9,0.84,10,3.65,11,13.85,9,24.87,12,22.87,9,17.01,2,13.74,6,14.86,4,12.84,6,8.65,1,6.35,2,-,-,23.8,6,8.07,-
SBI Gold Fund,1871.57,14.21,4,0.43,11,0.9,10,0.49,9,0.65,5,0.63,12,4.01,6,14.05,7,25.8,5,23.4,4,16.95,5,13.89,4,15.22,2,13.08,1,8.59,3,6.29,4,-,-,24.01,4,6.19,-
UTI Gold ETF FoF - Regular Plan,99.54,14.14,5,0.81,3,1.13,4,0.87,2,0.84,2,1.38,3,4.51,3,14.36,3,26.13,1,23.31,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.09,3,22.34,-
Domestic Price of Gold Index ( 02-Jul-2024 ) ,,13.52,,-0.09,,-0.19,,0.59,,-0.94,,0.63,,3.84,,12.75,,24.05,,23.38,,16.75,,14.58,,15.96,,13.68,,9.61,,7.47,,11.15,,24.05,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive Hybrid Fund FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,20,,19,,16,,15,,12,,21,,21
Peer Average,,14.88,,0.54,,1.32,,2.31,,4.29,,7.56,,9.17,,15.34,,24.71,,29.52,,24.44,,15.62,,15.46,,12.75,,12.78,,14.24,,13.47,,24.57,,13.85,
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,7515.79,15.45,7,0.58,9,1.22,16,2.17,14,4.8,5,9.11,2,10.44,6,15.92,8,24.85,9,29.67,10,22.81,14,13.97,19,13.94,16,10.97,16,11.98,12,13.94,11,13.28,8,24.92,9,18.66,-
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,203.07,16.49,5,0.65,4,1.46,5,2.04,16,4.76,6,8.29,7,10.69,5,16.5,6,27.53,5,34.81,3,27.12,5,17.26,3,17.31,4,13.75,4,13.53,5,14.4,8,-,-,27.41,5,13.14,-
Axis Equity Hybrid Fund - Regular Plan,1575.04,12.65,19,0.47,14,1.36,8,2.59,6,5.26,2,8.5,5,9.72,7,13.44,19,20.26,20,22.31,21,18.56,21,11.25,21,13.04,19,-,-,-,-,-,-,-,-,20.33,20,11.89,-
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,17.92,13.63,17,0.44,16,1.31,11,2.4,9,5.06,4,6.94,17,8.25,15,13.9,17,24.14,13,27.61,14,22.61,15,14.17,16,13.26,18,10.59,17,10.63,15,11.32,14,-,-,24.1,12,10.73,-
Bandhan Hybrid Equity Fund - Regular Plan,692.34,12.62,20,0.66,3,1.97,1,2.81,2,4.64,8,7.03,12,7.41,20,12.93,20,21.63,19,25.95,18,22.33,19,14.08,17,14.87,13,11.31,15,-,-,-,-,-,-,21.43,19,11.95,-
Baroda BNP Paribas Aggressive Hybrid Fund - Regular Plan,1038.09,18.07,2,0.34,21,1.28,13,2.39,10,4.45,11,7.22,10,8.5,11,18.38,2,28.95,1,33.58,5,26.28,7,15.96,7,17.45,3,14.81,2,-,-,-,-,-,-,28.56,2,14.79,-
Canara Robeco Equity Hybrid Fund - Regular Plan,10152.64,13.76,15,0.41,19,1.7,4,2.25,13,3.74,15,7.68,9,9.06,9,14.26,15,24.14,12,27.49,15,23.22,12,14.48,14,15.98,7,13.85,3,13.7,3,14.86,5,14.49,3,24.07,13,12.9,-
DSP Equity & Bond Fund,9131.81,14.27,11,0.76,1,1.77,3,2.78,3,6.73,1,9.61,1,12.49,2,14.78,11,23.81,14,30.64,8,26.22,8,14.62,12,16.36,6,13.42,6,14.06,2,14.62,7,13.62,5,23.81,14,14.96,-
Franklin India Equity Hybrid Fund,1806.96,14.52,9,0.35,20,0.73,21,1.91,18,2.97,20,6.86,18,8.28,14,15.04,9,24.77,11,32.24,6,25.9,9,15.84,8,15.96,8,13.19,9,13.55,4,14.74,6,13.29,7,24.73,10,14.13,-
HDFC Hybrid Equity Fund,23138.21,12.47,21,0.55,12,0.76,20,2.16,15,3.15,19,6.94,16,8.28,13,12.86,21,19.44,21,22.35,20,23.24,11,15.59,9,15.48,9,12.92,11,13.5,6,15.33,3,15.69,2,19.54,21,15.75,-
HSBC Aggressive Hybrid Fund,5441.86,19.67,1,0.73,2,1.79,2,2.65,5,4.09,13,9.01,3,13.11,1,20.96,1,28.73,2,34.92,2,28.31,2,16.47,5,15.3,10,11.99,13,13.1,8,15.1,4,-,-,29.06,1,13.49,-
HSBC Managed Solutions India - Growth - Regular Plan,41.82,15.4,8,0.56,11,1.3,12,2.26,12,4.47,10,7.01,13,9.15,8,15.93,7,26.04,7,31.92,7,27.24,4,16.35,6,16.47,5,13.11,10,12.74,10,-,-,-,-,25.78,7,14.27,-
ICICI Prudential Equity & Debt Fund,35122.02,16.47,6,0.43,18,0.79,19,1.88,19,2.43,21,5.02,21,6.43,21,16.84,5,28.41,3,38.09,1,29.96,1,24.45,1,21.21,1,17.27,1,16.38,1,18.14,1,17,1,27.65,3,15.63,-
LIC MF Aggressive Hybrid Fund,518.38,16.71,4,0.57,10,1.16,17,1.8,20,4.72,7,8.49,6,10.86,4,17.18,3,26.59,6,29.61,11,23.21,13,13.83,20,13.37,17,10.12,19,9.79,16,11.07,15,9.53,12,26.69,6,9.56,-
Mirae Asset Aggressive Hybrid Fund - Regular Plan,8563.76,13.34,18,0.62,7,1.24,15,2.31,11,4.16,12,7.87,8,8.85,10,13.71,18,22.18,18,26.45,17,22.51,16,14.29,15,14.89,11,13.5,5,-,-,-,-,-,-,22.03,18,13.28,-
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,13.96,13,0.62,6,1.33,9,1.69,21,3.68,16,6.57,20,7.42,19,14.41,13,26.04,8,28.07,13,23.27,10,14.6,13,-,-,-,-,-,-,-,-,-,-,25.48,8,15.47,-
Nippon India Equity Hybrid Fund,3535.42,14.18,12,0.46,15,1.03,18,2,17,3.54,18,6.76,19,8.2,16,14.61,12,24.8,10,30.24,9,26.74,6,17.05,4,12.68,20,10.13,18,11.25,14,13.09,12,12.76,10,24.48,11,12.79,-
SBI Equity Hybrid Fund,68372.47,13.86,14,0.53,13,1.44,6,2.5,7,3.96,14,7,14,8.49,12,14.34,14,22.33,17,26.8,16,20.99,20,14.07,18,14.7,14,13.41,7,13.41,7,15.68,2,13.51,6,22.3,17,15.79,-
Sundaram Aggressive Hybrid Fund,4643.67,14.47,10,0.44,17,1.25,14,2.47,8,4.54,9,6.97,15,7.85,18,14.98,10,23.67,15,28.12,12,22.44,17,14.99,11,14.87,12,12.75,12,11.89,13,12.9,13,11.54,11,23.44,15,11.11,-
Tata Hybrid Equity Fund - Regular Plan,3740.61,13.72,16,0.63,5,1.42,7,2.71,4,3.65,17,7.17,11,8.15,17,14.22,16,22.85,16,24.9,19,22.37,18,15.51,10,14.4,15,11.67,14,12.06,11,14.22,9,13.99,4,22.61,16,15.19,-
UTI Aggressive Hybrid Fund - Regular Plan,5511.93,16.78,3,0.6,8,1.32,10,2.83,1,5.21,3,8.71,4,10.89,3,17.03,4,27.74,4,34.12,4,27.86,3,19.15,2,17.71,2,13.4,8,12.89,9,14.2,10,13,9,27.52,4,15.29,-
CRISIL Hybrid 35+65 Aggressive Index ( 02-Jul-2024 ) ,,12.2,,-0.11,,0.94,,1.16,,4.88,,5.58,,7.01,,12.36,,21.74,,25.84,,21.81,,14.59,,15.26,,13.57,,12.81,,13.67,,12.41,,21.74,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Planning Funds - Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1
Peer Average,,9.62,,0.35,,0.8,,1.13,,2.57,,4.55,,5.83,,9.57,,15.65,,19.84,,16.03,,11.19,,11.43,,9.62,,9.26,,9.3,,,,15.55,,9.18,
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,18.27,9.62,1,0.35,1,0.8,1,1.13,1,2.57,1,4.55,1,5.83,1,9.57,1,15.65,1,19.84,1,16.03,1,11.19,1,11.43,1,9.62,1,9.26,1,9.3,1,-,-,15.55,1,9.18,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISIL Short Term Debt Hybrid 75+25 Index ( 02-Jul-2024 ) ,,6.92,,-0.03,,0.44,,0.62,,2.24,,2.88,,3.77,,6.96,,11.52,,14.15,,12.62,,9.21,,10.24,,9.59,,9.63,,10.14,,9.52,,11.54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Planning Funds - Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,2,,2
Peer Average,,13.07,,0.48,,1.12,,1.73,,3.71,,6.21,,8,,13.27,,21.69,,26.93,,22.07,,14.06,,14.38,,11.67,,11.43,,11.6,,,,21.53,,11.85,
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,34.53,13.03,2,0.49,1,1.15,1,1.58,2,3.69,2,6.4,1,8.23,1,12.99,2,21.56,2,27.22,1,21.23,2,14.16,1,14.37,2,11.74,1,11.25,2,11.6,1,-,-,21.45,2,11.01,-
HSBC Managed Solutions India - Moderate - Regular Plan,56.53,13.11,1,0.46,2,1.08,2,1.88,1,3.73,1,6.02,2,7.77,2,13.54,1,21.81,1,26.64,2,22.92,1,13.95,2,14.4,1,11.6,2,11.61,1,-,-,-,-,21.61,1,12.69,-
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,10.41,,-0.07,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,18.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,3,,,,,,,,,,,,,,7,,7
Peer Average,,20.92,,1.6,,2.32,,0.59,,-0.86,,11.18,,14.8,,21.91,,28.61,,27.05,,21.93,,,,,,,,,,,,,,23.88,,19.34,
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,140.04,20.32,6,1.51,6,2.17,6,0.61,3,-0.72,2,10.63,7,14.51,5,21.32,6,27.5,7,26.43,6,21.89,3,-,-,-,-,-,-,-,-,-,-,-,-,23.03,6,15.52,-
Axis Silver FoF - Regular Plan,41.85,20.73,5,1.36,7,2.16,7,0.53,7,-1.01,5,10.93,5,15.02,3,21.61,5,28.57,4,26.73,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.16,2,28.58,-
HDFC Silver ETF FoF - Regular Plan,89.47,21.19,2,1.62,4,2.45,2,0.56,6,-0.56,1,11.39,2,15.5,1,22.22,2,29.45,1,27.49,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.13,3,28.61,-
ICICI Prudential Silver ETF FoF,655.17,20.74,4,1.64,3,2.31,4,0.62,2,-1.1,7,11.02,4,14.2,7,21.81,3,29.4,2,27.06,3,21.94,2,-,-,-,-,-,-,-,-,-,-,-,-,23.54,4,14.81,-
Kotak Silver ETF FoF - Regular Plan,23.31,20.13,7,1.6,5,2.33,3,0.57,4,-0.82,3,10.83,6,14.34,6,20.94,7,28.01,6,25.97,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.77,7,17.14,-
Nippon India Silver ETF FoF - Regular Plan,335.8,20.75,3,1.73,1,2.53,1,0.57,5,-0.82,4,11.03,3,14.6,4,21.75,4,28.48,5,26.9,4,21.95,1,-,-,-,-,-,-,-,-,-,-,-,-,23.35,5,14.91,-
UTI Silver ETF FoF - Regular Plan,27.6,22.6,1,1.73,2,2.3,5,0.67,1,-1.01,6,12.42,1,15.44,2,23.75,1,28.88,3,28.81,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.21,1,15.85,-
Domestic Price of Silver,,22.49,,1.84,,3.23,,1.47,,-0.72,,11.93,,15.44,,23.33,,33.25,,29.06,,25.61,,-,,-,,-,,-,,-,,-,,25.18,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Index FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,2,,,,,,,,,,,,4,,4
Peer Average,,12.54,,0.61,,1.21,,1.43,,2.61,,5.26,,6.79,,12.8,,23.17,,25.98,,19.12,,12.72,,,,,,,,,,,,22.79,,16.5,
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,14.03,18.3,1,0.68,1,1.54,1,1.44,3,2.68,2,6.99,1,10.56,1,18.16,1,31.56,1,38.67,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.91,1,26.6,-
ICICI Prudential Passive Multi-Asset FoF,1078.05,8.12,4,0.62,3,0.91,4,1.5,2,1.74,4,3.12,4,3.9,4,8.63,4,17.13,4,17.52,4,17.38,2,-,-,-,-,-,-,-,-,-,-,-,-,16.15,4,12.5,-
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,13.96,2,0.62,2,1.33,2,1.69,1,3.68,1,6.57,2,7.42,2,14.41,2,26.04,2,28.07,2,23.27,1,14.6,1,-,-,-,-,-,-,-,-,-,-,25.48,2,15.47,-
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,41.39,9.8,3,0.53,4,1.06,3,1.09,4,2.33,3,4.37,3,5.27,3,10.01,3,17.94,3,19.66,3,16.7,3,10.85,2,-,-,-,-,-,-,-,-,-,-,17.62,3,11.44,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasdaq 100 FOFs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,2,,1,,,,,,,,,,5,,5
Peer Average,,19.45,,0.98,,1.86,,0.95,,8.84,,12.83,,10.57,,22.39,,37.72,,34.79,,35.04,,14.67,,24.44,,,,,,,,,,36.67,,22.77,
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,371.53,19.12,3,1.08,1,1.95,4,0.75,5,8.78,3,12.51,4,10.16,5,22.42,3,37.82,3,34.49,4,34.57,3,-,-,-,-,-,-,-,-,-,-,-,-,36.11,3,12.41,-
Axis NASDAQ 100 FoF - Regular Plan,166.54,19,5,1.05,3,2.01,3,0.8,4,8.76,5,12.42,5,10.18,4,22.13,4,37.34,4,34.24,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.69,4,41.22,-
Kotak Nasdaq 100 FOF - Regular Plan,2974.77,19.04,4,1.07,2,2.05,2,0.81,3,8.94,1,12.67,3,10.3,3,22.55,2,38.16,2,34.92,2,35.5,2,14.99,1,-,-,-,-,-,-,-,-,-,-,38.07,2,16.47,-
Motilal Oswal Nasdaq 100 FOF - Regular Plan,4672.55,19.67,2,0.82,5,1.14,5,0.97,2,8.76,4,13.64,1,10.98,2,21.15,5,36.12,5,34.84,3,34.44,4,14.35,2,24.44,1,-,-,-,-,-,-,-,-,35.4,5,24.57,-
Navi NASDAQ 100 FoF - Regular Plan,934.53,20.44,1,0.86,4,2.14,1,1.43,1,8.94,2,12.93,2,11.23,1,23.72,1,39.15,1,35.44,1,35.63,1,-,-,-,-,-,-,-,-,-,-,-,-,38.08,1,19.21,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Return as on :02-July-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
