Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Canara Robeco Bluechip Equity Fund - Regular Plan,12976.74,1.68,6,3.06,2,4.75,9,9.55,5,10.22,7,17.75,5,29.27,5,28.97,5,31.6,7,27.27,7,16.36,8,18.45,3,16.32,3,14.4,6,15.42,8,-,-,-,-,13.78,-,16.97,5
DSP Top 100 Equity Fund - Regular Plan,3716.97,1.92,1,2.76,10,6.19,3,8.8,8,12.36,1,19.09,2,31.87,3,31.1,3,37.45,3,30.74,4,17.1,6,15.49,10,13.11,12,11.78,13,13.35,13,12.52,10,16.79,4,19.44,-,18.44,2
Franklin India Bluechip Fund,7646.59,1.76,4,2.94,7,7.1,1,10.34,2,10.57,6,16.86,7,28.28,8,27.64,8,30.88,8,24.37,10,14.35,12,15.81,9,12.71,13,12.46,12,13.56,12,13.06,9,16.29,5,19.5,-,15.77,7
HDFC Top 100 Fund,33488.5,1.38,8,2.87,9,2.82,13,7.21,12,8.02,11,14.61,10,29.1,6,28.46,6,35.3,4,31.12,3,21.3,3,16.52,8,15,5,13.37,8,15.36,9,14.41,5,18.6,1,19.34,-,14.14,9
ICICI Prudential Bluechip Fund,55459.29,1.64,7,2.98,4,3.72,12,7.53,10,8.5,10,18.72,4,32.57,2,31.9,2,39.19,2,31.5,2,21.75,2,19.08,2,16.45,2,15.04,2,16.73,3,16.17,2,-,-,15.67,-,17.77,4
Kotak Bluechip Fund - Regular Plan,8199.81,1.77,3,3.04,3,5.2,5,10.39,1,12.06,2,18.78,3,30.7,4,30.15,4,34.58,5,28.13,5,17.48,5,18.26,4,15.07,4,14.41,5,15.6,6,13.91,7,17.29,3,18.42,-,17.79,3
Mirae Asset Large Cap Fund - Regular Plan,37631.07,1.69,5,3.42,1,5.87,4,9.93,3,10.87,3,14.58,11,23.14,13,22.7,13,26.46,12,22.95,12,14.59,11,15.37,12,14.13,9,14.78,3,17.14,2,16.78,1,-,-,15.74,-,13.56,11
Nippon India Large Cap Fund,26925.1,1.84,2,2.97,6,4.22,10,8.48,9,10.11,9,19.78,1,32.73,1,32.51,1,40.51,1,36.07,1,25.33,1,19.26,1,16.69,1,15.66,1,17.48,1,15.46,3,-,-,13.66,-,19.64,1
SBI Bluechip Fund,46084.82,1.27,12,2.33,12,4.94,7,9.52,6,10.17,8,14.45,12,23.95,11,23.63,11,26.25,13,25.91,8,17.06,7,16.72,6,14.07,10,14.42,4,16.59,4,14.29,6,-,-,12.59,-,13.55,12
Sundaram Large Cap Fund - Regular Plan,3376.64,1.38,9,2.92,8,3.82,11,7.15,13,7.23,13,13.18,13,23.72,12,23.3,12,27.74,11,25.03,9,15.98,9,15.4,11,14.33,7,12.53,11,14.03,11,12.01,11,15.79,6,18.07,-,12.08,13
UTI Large Cap Fund - Regular Plan,12365.73,1.27,10,2.98,5,6.3,2,9.51,7,10.64,5,15.36,9,25,10,24.72,10,28.92,9,23.98,11,15.08,10,16.65,7,14.25,8,13.23,9,14.58,10,13.51,8,15.34,7,17.48,-,13.83,10
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
NIFTY 50 Index,,1.75,,3.28,,4.4,,8.06,,8.25,,12.87,,24.36,,23.67,,25.69,,24.06,,15.57,,15.29,,14.14,,12.14,,13.54,,12.01,,14.78,,,,11.76,
BSE Sensex Total Return Index,,1.69,,3.53,,4.84,,8.93,,8.93,,12.95,,23.27,,22.68,,24.25,,24.44,,16.5,,16.36,,15.77,,13.4,,15.04,,13.38,,16.61,,,,11.57,
NIFTY Next 50 Total Return Index,,1.92,,1.52,,2.85,,10.49,,16.43,,35.64,,61.35,,61.88,,66.35,,40.98,,24.48,,22.28,,16.51,,16.94,,19,,17.11,,18.71,,,,36.49,
BSE 100 Total Return Index,,1.77,,3,,4.74,,8.98,,9.94,,16.38,,29.38,,28.83,,32.1,,28.24,,18.61,,17.9,,16,,14.08,,15.61,,13.83,,16.55,,,,15.51,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY 100 Total Return Index,,1.79,,2.93,,4.13,,8.73,,9.89,,16.98,,30.87,,30.31,,33.11,,27.27,,17.9,,17.38,,15.63,,14.02,,15.54,,13.96,,16.69,,,,16.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focused Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,17,,12,,11,,10,,9,,8,,,,18,,18
Peer Average,,1.45,,2.7,,5.9,,9.48,,11.62,,19.07,,31.87,,31.73,,38.21,,30.09,,18.82,,18.69,,15.52,,14.6,,16.64,,15.72,,,,,,18.48,
360 ONE Focused Equity Fund - Regular Plan,7215.17,1.72,5,3.49,2,4.95,15,9.6,10,13.44,4,21.55,4,32.49,9,32.67,9,39.34,7,35.04,4,21.46,5,23.07,1,19.43,1,-,-,-,-,-,-,-,-,17.5,-,20.59,5
Aditya Birla Sun Life Focused Fund - Regular Plan,7151.96,1.34,10,3.04,6,5.31,13,9.22,13,10.09,15,19.17,7,30.7,11,30.35,11,36.04,11,27.76,14,17.57,11,16.93,9,14.1,8,13.57,8,16.13,5,14.95,6,-,-,14.91,-,17.99,9
Axis Focused Fund,13341.11,0.42,18,0.96,18,4.16,18,5.82,17,5.8,18,13.97,17,24.15,17,24.3,17,24.6,17,19.35,17,8.03,17,12.68,12,12.42,11,13.34,9,-,-,-,-,-,-,14.77,-,13.25,17
Bandhan Focused Equity Fund - Regular Plan,1505.55,2.07,2,2.82,9,9.13,1,10.1,6,12.6,6,18.63,10,34.81,4,35.03,4,37.12,10,30.09,9,17.75,10,16.88,10,12.98,10,12.49,10,13.3,9,11.68,8,-,-,12.09,-,17.96,10
Canara Robeco Focused Equity Fund - Regular Plan,2293.3,1.99,3,3.02,7,5.5,9,9.26,12,10.24,14,19,8,30.11,12,30.2,12,34.87,14,30.12,8,19.53,8,-,-,-,-,-,-,-,-,-,-,-,-,21.52,-,18.09,8
DSP Focus Fund,2338.45,1.99,4,2.57,12,5.89,8,12.2,2,16.25,1,18.84,9,33.77,5,33.91,5,44.03,4,32.93,6,17,13,16.74,11,13.92,9,13.94,7,15.58,8,-,-,-,-,12.45,-,18.14,7
Franklin India Focused Equity Fund,11442.54,1.44,9,3.09,5,6.07,7,9.85,8,12.43,8,22.14,3,32.99,7,32.73,8,39.72,6,32.98,5,22.07,4,20.01,4,16.74,3,17.12,1,19.87,1,17.98,2,-,-,14.99,-,21.81,3
HDFC Focused 30 Fund,11945.94,0.7,16,2.28,13,5.37,11,10.04,7,12.59,7,21.49,5,37.41,3,36.9,3,44.51,3,37.43,2,29.18,1,21.24,3,15.85,6,14.08,6,15.9,7,15.15,4,-,-,16.64,-,21.38,4
HSBC Focused Fund - Regular Plan,1595.84,0.62,17,1.59,17,4.39,17,4.7,18,7.01,17,15.22,16,28.45,13,28.16,14,35.93,12,27.58,15,15.9,14,-,-,-,-,-,-,-,-,-,-,-,-,22.61,-,14.3,16
ICICI Prudential Focused Equity Fund,8139.49,1.2,14,2.65,11,5.5,10,10.15,5,11.26,11,25.26,2,39.85,2,39.08,2,46.82,2,35.92,3,24.26,3,22.35,2,17.7,2,15.07,4,16.52,4,15.05,5,-,-,15.1,-,24.87,2
Invesco India Focused Fund - Regular Plan,2820.38,1.54,7,2.01,16,6.41,6,8.91,15,14.18,3,31.13,1,54.08,1,54.63,1,65.37,1,39.83,1,24.47,2,-,-,-,-,-,-,-,-,-,-,-,-,29.48,-,31.46,1
Kotak Focused Equity Fund - Regular Plan,3312.87,1.25,13,2.26,14,5.36,12,11.22,3,12.82,5,20.17,6,33.37,6,32.8,7,38.02,9,29.24,12,18.46,9,-,-,-,-,-,-,-,-,-,-,-,-,19.72,-,19.1,6
Mirae Asset Focused Fund - Regular Plan,7920.31,1.34,11,3.34,3,7.03,3,9.27,11,9.23,16,10.21,18,16.91,18,16.65,18,20.86,18,17.83,18,11.26,16,17.42,8,-,-,-,-,-,-,-,-,-,-,18.57,-,9.88,18
Nippon India Focused Equity Fund,7916.72,1.64,6,3.26,4,8.29,2,12.59,1,15.36,2,15.7,15,27.01,15,26.44,15,38.16,8,28.43,13,19.7,7,19.77,5,15.22,7,16.15,2,19.02,2,17.41,3,-,-,15.18,-,15.24,15
SBI Focused Equity Fund,33488.95,1.33,12,2.9,8,4.44,16,8.34,16,10.68,13,17.38,13,25.34,16,25.3,16,31.94,16,25.8,16,15.73,15,17.53,7,16.3,4,15.87,3,17.41,3,18.63,1,-,-,19.36,-,16.96,14
Sundaram Focused Fund,1057.99,1.51,8,2.76,10,5.01,14,9.08,14,10.78,12,17.93,12,28.35,14,28.29,13,33.55,15,29.54,11,17.08,12,19.64,6,16.08,5,14.4,5,16.04,6,14.91,7,-,-,16.03,-,17.18,12
Tata Focused Equity Fund - Regular Plan,1672.37,2.81,1,4.41,1,6.86,4,10.55,4,12.24,9,17.18,14,32.82,8,32.95,6,41.6,5,31.89,7,20.47,6,-,-,-,-,-,-,-,-,-,-,-,-,20.53,-,17.05,13
UTI Focused Fund - Regular Plan,2564.64,1.14,15,2.18,15,6.47,5,9.8,9,12.17,10,18.26,11,31.09,10,30.74,10,35.31,13,29.8,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.34,11
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
NIFTY 50 Index,,1.75,,3.28,,4.4,,8.06,,8.25,,12.87,,24.36,,23.67,,25.69,,24.06,,15.57,,15.29,,14.14,,12.14,,13.54,,12.01,,14.78,,,,11.76,
BSE Sensex Total Return Index,,1.69,,3.53,,4.84,,8.93,,8.93,,12.95,,23.27,,22.68,,24.25,,24.44,,16.5,,16.36,,15.77,,13.4,,15.04,,13.38,,16.61,,,,11.57,
NIFTY Next 50 Total Return Index,,1.92,,1.52,,2.85,,10.49,,16.43,,35.64,,61.35,,61.88,,66.35,,40.98,,24.48,,22.28,,16.51,,16.94,,19,,17.11,,18.71,,,,36.49,
BSE 100 Total Return Index,,1.77,,3,,4.74,,8.98,,9.94,,16.38,,29.38,,28.83,,32.1,,28.24,,18.61,,17.9,,16,,14.08,,15.61,,13.83,,16.55,,,,15.51,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexi Cap Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,18,,18,,18,,18,,18,,18,,18,,18,,18,,16,,14,,14,,12,,11,,10,,9,,7,,18,,18
Peer Average,,1.56,,2.73,,6.01,,9.89,,12.01,,18.62,,30.67,,30.6,,37.55,,30.31,,17.83,,18.2,,15.16,,15.07,,16.84,,15.66,,18.75,,,,17.92,
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,20473.4,1.17,15,2.42,15,5.86,8,9.18,12,11.24,12,17.6,12,29.72,11,29.29,12,36.58,10,29.57,9,16.85,9,18.04,7,14.28,9,14.78,7,17.79,3,15.26,6,18.9,4,21.91,-,17.11,12
Axis Flexi Cap Fund - Regular Plan,12011.72,1.47,12,2.08,17,5.62,10,9.88,9,12.69,6,20.73,6,31.6,8,31.8,7,34.16,12,26.18,13,14.46,12,16.33,13,-,-,-,-,-,-,-,-,-,-,15.23,-,19.37,6
Bandhan Flexi Cap Fund - Regular Plan,6979.84,1.7,7,3.03,6,5.27,12,8.63,14,11.74,9,18.95,8,29.65,12,29.83,11,37.08,9,29.2,10,17.91,6,16.55,9,12.65,12,13.34,11,16.08,8,16.59,3,-,-,17.35,-,17.41,11
Canara Robeco Flexi Cap Fund - Regular Plan,12447.99,1.78,6,2.55,11,5.6,11,10.51,7,11.19,13,18.39,10,30.49,10,30.45,10,33.6,13,27.89,11,16.95,8,18.68,6,16.47,4,14.38,9,15.74,9,15.41,5,18.08,5,18.22,-,17.59,10
DSP Flexi Cap Fund,10558.54,2.14,2,3.33,1,7.25,3,12.08,1,16.3,1,18.76,9,30.53,9,30.52,9,39.75,8,33.53,5,17.74,7,19.92,4,16.53,3,15.31,6,16.84,6,15.6,4,19.93,2,19.55,-,18.07,8
Franklin India Flexi Cap Fund,15468.09,1.4,13,3.08,5,4.57,16,9.25,11,11.55,11,19.62,7,34.09,5,34.28,4,45.45,3,34.88,4,23.02,2,21.7,1,16.63,2,16.43,2,17.85,2,16.63,2,19.25,3,18.52,-,19.13,7
HDFC Flexi Cap Fund,54692.16,0.92,17,2.49,14,5.04,15,10.19,8,12.26,8,21.25,4,36.94,3,36.48,3,44.59,4,37.71,1,26.95,1,20.94,2,17.92,1,15.52,4,17.63,4,16.77,1,20.15,1,19.28,-,21,3
HSBC Flexi Cap Fund,4435.44,2.27,1,3.3,2,6.97,5,11.79,3,14.41,3,25.19,2,39.41,2,38.83,2,48.83,2,36.88,3,22.21,3,19.46,5,15.17,7,14.46,8,16.11,7,15.2,7,17.96,6,17.34,-,24.95,2
ICICI Prudential Flexicap Fund,14913.29,1.07,16,2.05,18,6.36,7,9.61,10,10.7,14,21.03,5,34.38,4,34.08,5,40.28,6,32.06,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.68,-,20.13,5
Kotak Flexicap Fund - Regular Plan,48469.47,1.79,5,2.54,13,3.5,18,10.6,6,13.22,5,21.54,3,32.95,6,32.89,6,40.06,7,32.06,7,19.16,4,17.57,8,15.18,6,16.14,3,17.91,1,-,-,-,-,15.28,-,20.37,4
Mirae Asset Flexi Cap Fund - Regular Plan,1874.54,0.61,18,2.32,16,4.44,17,8.53,16,10.31,15,16.43,13,27.12,13,26.84,14,33.53,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.65,-,15.88,13
Motilal Oswal Flexi Cap Fund - Regular Plan,10034.65,1.63,10,2.67,10,8.55,2,11.96,2,13.74,4,28.09,1,43.74,1,44.53,1,56.52,1,37.28,2,18.89,5,15.92,14,12.96,11,16.57,1,-,-,-,-,-,-,18.45,-,28.09,1
Nippon India Flexi Cap Fund - Regular Plan,7052.43,1.38,14,2.54,12,5.81,9,10.85,5,14.55,2,17.89,11,31.78,7,31.76,8,43.11,5,31.82,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.74,-,17.73,9
PGIM India Flexi Cap Fund - Regular Plan,5875.23,1.91,4,2.97,7,7.14,4,8.62,15,9.65,17,14.89,15,24.28,16,24.28,16,25.77,17,24.01,15,13.61,13,20.24,3,15.56,5,-,-,-,-,-,-,-,-,14.23,-,13.83,16
SBI Flexicap Fund,20647.58,1.63,9,2.69,9,5.25,13,8.18,17,9.98,16,15.42,14,25.94,15,25.69,15,30.19,15,25.42,14,15.91,11,16.44,12,14.19,10,15.37,5,17.09,5,14.32,9,-,-,13.5,-,14.95,14
Sundaram Flexi Cap Fund - Regular Plan,2064.78,1.49,11,2.8,8,5.07,14,7.71,18,8.66,18,13.02,17,23.56,17,23,17,28.68,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.13,-,12.21,17
Tata Flexi Cap Fund - Regular Plan,2732.29,2.06,3,3.18,4,6.58,6,8.79,13,11.58,10,14.74,16,26.27,14,26.87,13,35.2,11,26.95,12,16.53,10,16.51,10,-,-,-,-,-,-,-,-,-,-,15.34,-,14.51,15
UTI Flexi Cap Fund - Regular Plan,23972.31,1.67,8,3.18,3,9.27,1,11.65,4,12.44,7,11.63,18,19.52,18,19.44,18,22.45,18,19.5,16,9.49,14,16.49,11,14.38,8,13.46,10,15.38,10,15.17,8,16.98,7,12.86,-,10.22,18
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY Next 50 Total Return Index,,1.92,,1.52,,2.85,,10.49,,16.43,,35.64,,61.35,,61.88,,66.35,,40.98,,24.48,,22.28,,16.51,,16.94,,19,,17.11,,18.71,,,,36.49,
NIFTY Midcap 100 Total Return Index,,1.9,,2.47,,5.62,,10.65,,13.32,,21.32,,39.17,,39.42,,58.09,,46.33,,28.73,,26.98,,18.85,,18.52,,19.61,,18.02,,19.77,,,,22.24,
BSE AllCap Total Return Index,,1.94,,3.01,,5.39,,9.69,,11.64,,18.92,,33.82,,33.54,,40.98,,32.7,,21.07,,20.61,,16.95,,15.38,,16.73,,14.85,,-,,,,18.71,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large & Mid Cap Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,19,,17,,16,,16,,15,,8,,20,,20
Peer Average,,1.74,,2.67,,6.09,,10.93,,14.1,,22.78,,36.4,,36.48,,45.52,,35.2,,21.75,,21.1,,16.51,,16.24,,17.97,,15.78,,17.71,,,,22.46,
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,5761.97,1.43,15,2.52,13,5.03,17,9.87,14,13,13,18,18,28.76,19,29.02,19,36.95,18,28.91,19,14.14,20,16.78,19,12.46,17,14.02,14,16.78,12,14.04,13,16.26,6,17.3,-,17.33,19
Axis Growth Opportunities Fund - Regular Plan,12424.49,1.62,12,1.86,17,5.04,16,9.87,13,11.32,18,23.49,11,34.25,14,34.48,14,39.15,16,32.26,14,18.31,18,22.8,2,-,-,-,-,-,-,-,-,-,-,22.14,-,22.62,11
Bandhan Core Equity Fund - Regular Plan,4680.59,2.1,6,3.54,3,5.73,11,9.68,17,14.4,9,25.32,5,43.46,2,43.38,2,56.66,1,42.6,2,26.06,3,22.67,4,17.31,7,16.45,8,17.23,8,14.53,11,-,-,14.39,-,25.97,4
Canara Robeco Emerging Equities Fund - Regular Plan,21796.83,1.69,10,2.11,15,7.68,4,12.62,3,14.82,6,23.76,10,35.31,13,35.66,13,41.14,13,30.72,17,19.2,16,21.03,12,16.49,10,18.64,2,21.65,2,21.19,1,-,-,18.05,-,22.62,10
DSP Equity Opportunities Fund,11991.26,2.27,4,3.14,6,6.4,7,12.08,5,17.39,3,24.09,9,40.39,7,40.11,7,51.75,4,37.65,8,21.68,10,22,7,17.18,8,17.06,5,18.75,4,16.59,3,19.1,2,18.49,-,23.91,8
Edelweiss Large & Mid Cap Fund - Regular Plan,3046.54,2.39,3,3.47,4,7.62,5,12.61,4,13.88,11,22.31,12,35.5,12,36.1,10,43.69,12,34.17,11,21.18,12,21.23,9,17.76,4,15.83,9,17.1,11,15.51,9,-,-,13.32,-,21.27,13
Franklin India Equity Advantage Fund,3203.2,1.85,8,2.84,8,8.71,1,11.89,6,13.45,12,18.54,16,31.11,16,31.11,16,37.69,17,27.58,20,16.95,19,17.39,18,13.67,16,13.68,16,15.95,15,14.81,10,-,-,16.13,-,17.69,18
HDFC Large and Mid Cap Fund - Regular Plan,19454.33,1.53,14,2.08,16,5.12,15,9.7,16,12.65,15,20.06,14,35.81,11,35.86,12,48.09,9,38.87,5,26.19,2,23.36,1,18.11,1,14.9,13,16,14,13.81,15,15.74,8,13.32,-,20.24,14
HSBC Large and Mid Cap Fund - Regular Plan,3118.58,2.21,5,2.8,9,5.34,12,11.74,7,18.14,2,31.31,1,40.95,4,41.56,4,51.66,6,40.18,3,23.96,6,21.03,11,-,-,-,-,-,-,-,-,-,-,20.05,-,30.51,1
ICICI Prudential Large & Mid Cap Fund,13420.35,1.18,18,1.84,18,4.58,19,8.14,20,10.49,20,21.38,13,36.61,10,36.03,11,46.21,11,35.56,10,26.74,1,22.68,3,17.56,6,15.6,10,17.22,9,15.95,7,18.53,3,19.04,-,21.63,12
Invesco India Large & Mid Cap Fund,5841.65,1.39,16,2.19,14,7.76,3,13.13,2,15.44,4,27.97,2,45.74,1,46.44,1,54.83,2,39.43,4,22.84,9,20.8,13,17.84,3,16.66,7,18,7,16.35,6,-,-,13.81,-,27.58,2
Kotak Equity Opportunities Fund - Regular Plan,22329.12,1.17,19,1.62,20,3.15,20,10.4,10,14.76,7,25.85,4,37.12,9,36.95,9,46.98,10,37,9,23.32,8,22.59,5,17.62,5,17.57,3,18.57,5,16.36,5,-,-,19.4,-,25.2,5
LIC MF Large & Mid Cap Fund - Regular Plan,2737,2.54,1,4.07,1,8.68,2,15.29,1,20.62,1,27.39,3,41.97,3,42.37,3,51.69,5,32.93,12,21.61,11,20.6,15,16.22,13,-,-,-,-,-,-,-,-,15.58,-,27.32,3
Mirae Asset Large & Midcap Fund - Regular Plan,35272.6,1.68,11,2.63,11,5.32,13,9.53,18,11.58,17,17.43,20,30.05,18,29.99,17,40.12,14,29.75,18,18.49,17,21.86,8,18.02,2,20.76,1,23.53,1,-,-,-,-,21.16,-,17.27,20
Motilal Oswal Large and Midcap Fund - Regular Plan,4293,0.71,20,1.66,19,6.09,9,10.29,11,14.11,10,24.42,7,40.52,6,40.82,5,53.11,3,44.55,1,26.04,4,-,-,-,-,-,-,-,-,-,-,-,-,26.04,-,25.12,6
Nippon India Vision Fund,4668.16,2.4,2,3.21,5,5.13,14,11.01,9,14.51,8,24.46,6,40.65,5,40.6,6,50.74,7,37.78,7,24.12,5,20.66,14,14.85,15,13.96,15,15.4,16,13.81,14,17.34,5,18.76,-,23.82,9
SBI Large & Midcap Fund,23443.39,1.58,13,2.94,7,6.1,8,10.24,12,12.36,16,18.19,17,30.16,17,29.82,18,36.36,19,32.65,13,20.82,13,21.17,10,17.05,9,16.66,6,18.41,6,16.47,4,20.66,1,15.37,-,17.75,17
Sundaram Large and Mid Cap Fund,6451.55,1.82,9,2.69,10,4.98,18,9.76,15,12.86,14,19.45,15,32.69,15,32.7,15,39.96,15,31.59,16,19.48,15,20.28,16,15.83,14,17.14,4,19.52,3,16.99,2,-,-,15.22,-,18.92,15
Tata Large & Mid Cap Fund - Regular Plan,7285.94,1.29,17,2.6,12,5.98,10,9.19,19,10.98,19,17.95,19,28,20,27.86,20,33.72,20,31.65,15,20.22,14,19.77,17,16.27,12,15.59,11,17.12,10,15.89,8,18.07,4,13.5,-,18.03,16
UTI Large & Mid Cap Fund - Regular Plan,3085.86,2.04,7,3.62,2,7.46,6,11.61,8,15.24,5,24.15,8,38.99,8,38.82,8,49.99,8,38.11,6,23.67,7,22.15,6,16.41,11,15.27,12,16.34,13,14.43,12,16,7,14.13,-,24.37,7
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
NIFTY Midcap 100 Total Return Index,,1.9,,2.47,,5.62,,10.65,,13.32,,21.32,,39.17,,39.42,,58.09,,46.33,,28.73,,26.98,,18.85,,18.52,,19.61,,18.02,,19.77,,,,22.24,
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
NIFTY Large Midcap 250 Total Return Index,,1.83,,2.62,,5.1,,10.18,,12.37,,19.98,,35.12,,35.01,,45.26,,36.21,,23.08,,22.72,,18.22,,17.16,,18.71,,16.52,,-,,,,19.97,
BSE 250 Large MidCap Total Return Index,,1.84,,2.84,,4.45,,9.38,,10.82,,18.13,,32.49,,32.05,,37.45,,30.31,,19.74,,19.4,,16.69,,15.12,,16.51,,14.66,,-,,,,17.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,14,,14,,14,,14,,14,,14,,14,,14,,14,,12,,7,,6,,6,,5,,5,,5,,3,,14,,14
Peer Average,,1.91,,2.75,,6.2,,10.36,,13.53,,22.19,,36.24,,36.51,,47.77,,37.25,,23.61,,22.19,,17.32,,16,,18.23,,17.1,,16.85,,,,22.21,
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,5583.9,1.8,9,2.94,5,6.17,8,11.13,2,13.75,9,21.81,8,32.26,12,32.35,12,41.48,12,31.73,11,20.47,6,-,-,-,-,-,-,-,-,-,-,-,-,23.08,-,21.27,8
