Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Nippon India Gilt Securities Fund,1864.74,29.55,5,5.95,2,4.3,6,5.34,9,13.17,7,9.23,8,10.38,5,9.27,6,7.64,8,7.72,7,5.26,10,4.5,11,6.21,8,6.57,7,8.34,5,6.19,-,14.64
Baroda BNP Paribas Gilt Fund,1626.13,21.85,12,5.48,6,4.77,3,4.69,10,10.88,10,8.23,10,10.06,7,8.61,9,7.28,12,7.68,9,5.2,12,4.51,10,5.58,11,5.68,10,6.98,13,6.29,-,9.47
DSP Gilt Fund,1012.28,31.33,3,2.79,12,5.35,1,10.41,2,16.82,2,10.85,2,13,2,10.89,2,8.97,2,8.26,3,6.12,3,5.58,3,7.38,1,7.17,1,8.29,6,9.22,-,34.42
Tata Gilt Securities Fund - Regular Plan,727.56,26.82,9,6.02,1,3.6,9,4.13,11,8.55,13,6.68,13,9.18,11,8.15,12,7.06,13,7.31,12,5.32,9,4.29,12,5.46,12,5.35,13,7.02,12,8.28,-,7.33
UTI Gilt Fund - Regular Plan,621.38,25.92,11,5.87,3,2.71,13,1.84,13,10.81,11,8.17,11,9.84,8,8.5,11,7.63,9,7.47,10,5.4,8,4.6,9,6.14,9,6.25,9,8.18,7,8.15,-,12.4
Axis Gilt Fund,353.85,27.17,8,5.28,7,4.72,4,6.33,5,13.68,5,10.16,3,11.41,3,10.38,3,8.71,3,7.73,6,5.61,5,5.37,4,7.01,5,6.62,5,7.68,9,7.11,-,16.47
HSBC Gilt Fund,199.45,29.34,6,4.96,9,3.37,10,5.69,8,12.79,8,8.9,9,9.81,9,8.95,8,7.34,11,6.54,13,4.61,13,4.03,13,5.39,13,5.41,12,7.24,11,7.79,-,11.41
NIFTY All Duration G-Sec Index,,26.68,,7.1,,5.5,,7.86,,13.98,,10.05,,11.23,,10.31,,8.75,,8.96,,6.04,,5.37,,6.77,,6.91,,7.88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,11,,11,,12,
Peer Average,,10.23,,10.38,,8.42,,7.63,,7.33,,7.22,,7.65,,7.47,,7.39,,7.01,,5.83,,5.34,,5.77,,6.12,,6.64,,,,
Aditya Birla Sun Life Money Manager Fund - Regular Plan,23737.6,10.83,2,10.63,2,8.62,1,7.82,3,7.49,4,7.39,2,7.84,1,7.66,1,7.6,1,7.23,1,6.06,2,5.6,1,6.1,1,6.57,1,6.99,1,7.45,-,0.66
Axis Money Market Fund - Regular Plan,8369.16,9.56,11,10.46,6,8.6,3,7.81,4,7.5,1,7.36,5,7.82,3,7.61,4,7.52,7,7.13,6,5.99,6,5.5,5,-,-,-,-,-,-,5.94,-,0.68
Bandhan Money Manager Fund - Regular Plan,5068.9,9.74,8,9.74,12,7.89,12,7.03,12,6.75,12,6.67,12,7.05,12,6.84,12,6.78,12,6.4,12,5.25,12,4.68,12,5.05,11,5.4,10,6.16,10,6.37,-,0.67
DSP Savings Fund,4605.33,9.68,9,10.08,11,8.25,10,7.45,10,7.19,9,7.1,9,7.46,10,7.33,10,7.23,9,6.91,9,5.57,9,5.1,9,5.59,8,6.03,7,6.32,9,6.63,-,0.74
HDFC Money Market Fund,22479.76,10.6,5,10.31,9,8.41,8,7.68,8,7.41,8,7.32,7,7.76,7,7.55,8,7.47,8,7.08,8,5.95,8,5.48,7,6.02,2,6.41,4,6.83,6,7.2,-,0.63
ICICI Prudential Money Market Fund,22485.24,11.19,1,10.51,4,8.51,5,7.77,5,7.48,5,7.36,4,7.78,6,7.6,7,7.53,6,7.15,5,5.97,7,5.47,8,5.94,6,6.39,5,6.85,4,7.11,-,0.68
Invesco India Money Market Fund,4008.03,9.59,10,10.55,3,8.36,9,7.51,9,7.18,10,7.06,10,7.61,9,7.38,9,7.23,10,6.83,10,5.5,11,5.02,11,5.43,10,5.98,8,6.63,7,7.27,-,0.73
Kotak Money Market Fund - Regular Plan,20244.6,10.48,6,10.47,5,8.49,6,7.73,7,7.45,6,7.34,6,7.79,4,7.6,5,7.53,5,7.11,7,6.01,5,5.48,6,5.84,7,6.35,6,6.84,5,7.04,-,0.62
Nippon India Money Market Fund,16562.01,10.76,3,10.74,1,8.62,2,7.84,1,7.49,3,7.38,3,7.84,2,7.65,2,7.58,2,7.19,3,6.08,1,5.57,3,5.98,4,6.47,2,6.9,2,7.33,-,0.62
SBI Savings Fund,24347.58,9.55,12,10.26,10,8.2,11,7.41,11,7.11,11,7.01,11,7.34,11,7.14,11,7.06,11,6.69,11,5.53,10,5.08,10,5.54,9,5.94,9,6.57,8,6.99,-,0.6
Tata Money Market Fund - Regular Plan,18756.93,10.63,4,10.39,8,8.48,7,7.73,6,7.43,7,7.31,8,7.79,5,7.64,3,7.57,3,7.17,4,6.02,4,5.58,2,6.01,3,5.36,11,6.11,11,6.71,-,0.64
UTI Money Market Fund - Regular Plan,14121.21,10.16,7,10.43,7,8.55,4,7.82,2,7.5,2,7.4,1,7.75,8,7.6,6,7.57,4,7.2,2,6.06,3,5.57,4,5.96,5,6.44,3,6.89,3,7.26,-,0.62
NIFTY Money Market Index,,9.43,,8.87,,7.88,,7.73,,7.56,,7.55,,7.81,,7.67,,7.64,,7.19,,6.01,,5.44,,5.65,,6.1,,6.69,,,,
NIFTY Money Market Index B-I,,9.69,,8.76,,7.9,,7.81,,7.61,,7.62,,7.88,,7.73,,7.7,,7.24,,6.02,,5.4,,5.61,,6.07,,6.68,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,11,
Peer Average,,9.45,,9.1,,7.72,,7.36,,7.2,,7.02,,7.37,,7.12,,7.1,,6.81,,5.74,,5.46,,6.14,,6.18,,6.83,,,,
Aditya Birla Sun Life Low Duration Fund - Regular Plan,12133.88,9.56,5,8.9,8,7.66,9,7.2,10,7.05,10,6.74,11,7.08,11,6.89,10,6.85,11,6.56,10,5.45,9,5.27,7,5.98,8,6.29,5,6.83,5,7.17,-,1.3
ICICI Prudential Savings Fund,19172.2,10.7,1,9.28,4,7.91,1,7.77,1,7.48,1,7.4,1,7.95,1,7.51,1,7.79,1,7.8,1,6.05,2,5.92,2,6.57,2,6.81,1,7.39,1,7.7,-,2.18
HDFC Low Duration Fund,17516.3,9.05,9,9.43,1,7.78,3,7.48,2,7.16,8,7.1,3,7.38,4,7.01,8,7.2,4,6.92,2,5.59,4,5.57,3,6.11,4,6.3,4,6.78,8,7.06,-,2.06
SBI Magnum Low Duration Fund,9681.07,7.72,11,8.67,11,7.73,7,7.32,8,7.18,7,6.89,9,7.25,7,7.05,7,6.95,8,6.59,9,5.38,10,5,11,5.68,11,6.16,9,6.8,7,7.2,-,1.61
Kotak Low Duration Fund - Standard Plan,9154.4,10.22,2,8.77,10,7.76,5,7.34,6,7.06,9,6.94,7,7.24,8,6.87,11,6.89,10,6.66,7,5.36,11,5.19,8,6.02,7,6.35,3,7.15,2,7.19,-,2.08
Nippon India Low Duration Fund,5789.66,8.44,10,8.94,7,7.51,10,7.11,11,6.95,11,6.83,10,7.2,10,6.99,9,6.94,9,6.56,11,5.51,7,5.42,5,6.1,5,6.19,8,6.81,6,7.47,-,1.15
Axis Treasury Advantage Fund - Regular Plan,5468.05,9.62,4,8.81,9,7.84,2,7.43,3,7.33,2,7.23,2,7.57,2,7.29,2,7.21,3,6.88,3,5.71,3,5.42,4,6.11,3,6.49,2,6.97,3,7.41,-,1.13
Bandhan Low Duration Fund - Regular Plan,5064.23,9.47,8,9.24,6,7.45,11,7.2,9,7.22,6,6.93,8,7.24,9,7.15,4,7.02,6,6.71,5,5.48,8,5.12,10,5.82,10,6.24,7,6.94,4,7.16,-,1.01
DSP Low Duration Fund - Regular Plan,4315.8,9.51,7,9.36,3,7.72,8,7.41,4,7.28,4,7.06,4,7.38,5,7.11,6,7.02,7,6.68,6,5.53,5,5.16,9,6.06,6,6.28,6,-,-,6.77,-,1.02
UTI Low Duration Fund - Regular Plan,2455.66,10.1,3,9.28,5,7.77,4,7.34,7,7.24,5,7.02,5,7.46,3,7.28,3,7.22,2,6.87,4,7.49,1,6.72,1,7.16,1,5.34,11,6.33,10,7.16,-,0.96
Tata Treasury Advantage Fund - Regular Plan,2319.17,9.55,6,9.42,2,7.74,6,7.4,5,7.29,3,7.02,6,7.35,6,7.12,5,7.06,5,6.65,8,5.52,6,5.28,6,5.95,9,5.5,10,6.36,9,7.12,-,0.95
CRISIL Low Duration Debt B-I Index ( 02-Jul-2024 ) ,,11.28,,8.5,,8.04,,8.03,,7.7,,7.67,,7.9,,7.73,,7.71,,7.44,,6.27,,5.91,,6.31,,6.61,,7.26,,,,
NIFTY Low Duration Debt Index,,10.15,,8.38,,7.81,,7.76,,7.64,,7.62,,7.93,,7.65,,7.63,,7.26,,6.03,,5.66,,6.14,,6.49,,7.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking & PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,11,
Peer Average,,11.26,,8.72,,7.01,,6.75,,8.27,,6.8,,7.6,,7.24,,6.98,,6.69,,5.31,,5.18,,6.49,,6.69,,7.29,,,,
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,10110.55,13.24,5,9.27,5,7.38,2,6.79,5,8.64,2,7.13,3,7.6,5,7.36,4,7.07,4,6.77,5,5.52,3,5.43,4,6.69,5,6.81,5,7.77,1,8.02,-,4.91
Axis Banking & PSU Debt Fund,13660.32,10.23,8,7.31,10,6.73,7,6.26,10,7.17,11,6.27,11,7.05,10,6.86,11,6.72,10,6.26,11,5.25,8,5.11,8,6.41,8,6.88,3,7.31,6,7.62,-,2.89
Bandhan Banking & PSU Debt Fund - Regular Plan,14279.57,15.26,2,9.7,3,6.73,8,6.59,6,8.01,9,6.78,6,7.19,9,7.02,8,6.78,7,6.53,7,5.32,7,5.22,6,6.74,2,7.04,1,7.29,7,7.52,-,3
DSP Banking & PSU Debt Fund - Regular Plan,2505.18,18.93,1,9.89,2,8.85,1,8.63,1,10.13,1,7.4,1,8.93,1,7.96,1,7.42,2,6.85,3,5.45,4,5.19,7,6.64,7,6.68,7,7.4,5,7.65,-,8.49
HDFC Banking and PSU Debt Fund - Regular Plan,6297.89,10.34,6,8.33,8,6.93,6,6.36,8,8.35,5,6.74,7,7.6,6,7.22,6,7.04,5,6.77,4,5.37,6,5.46,3,6.65,6,6.72,6,7.52,3,7.58,-,4.48
HSBC Banking and PSU Debt Fund,4731.55,10.26,7,9.35,4,7.12,5,6.96,3,7.42,10,6.57,8,7.05,11,6.97,10,6.67,11,6.51,8,4.52,11,4.53,11,6.06,10,6.18,11,6.81,9,7.07,-,1.86
ICICI Prudential Banking & PSU Debt Fund,9403.8,14.02,4,8.91,6,6.26,10,6.58,7,8.21,6,7.21,2,7.76,2,7.36,3,7.47,1,7.42,1,6,1,5.88,1,6.76,1,6.66,8,7.65,2,7.91,-,5.73
Kotak Banking and PSU Debt Fund - Regular Plan,5967.83,4.13,11,6.38,11,6.66,9,5.85,11,8.38,4,6.82,5,7.67,4,7.46,2,7.19,3,7,2,5.6,2,5.51,2,6.73,4,6.94,2,7.5,4,7.28,-,7.88
LIC MF Banking & PSU Fund,1410.12,6.5,9,8.69,7,7.22,4,6.92,4,8.06,8,6.57,9,7.6,7,7.17,7,6.77,8,6.3,10,5,10,4.65,10,5.79,11,6.3,10,6.54,10,7.04,-,3.99
Nippon India Banking & PSU Debt Fund,5628.09,6.49,10,8.2,9,7.32,3,6.27,9,8.43,3,6.83,4,7.69,3,7.32,5,6.92,6,6.77,6,5.38,5,5.28,5,6.73,3,6.82,4,-,-,7.34,-,5.08
SBI Banking and PSU Fund,4199.91,14.47,3,9.91,1,5.96,11,7.03,2,8.17,7,6.54,10,7.42,8,6.99,9,6.76,9,6.44,9,5,9,4.79,9,6.17,9,6.56,9,7.12,8,7.42,-,8.83
NIFTY Financial Services Index,,656.82,,73.17,,111.34,,71.47,,58.37,,51.59,,25.16,,28.28,,18.12,,23.65,,13.3,,21.78,,11.68,,14.06,,14.19,,,,
NIFTY Financial Services Total Return Index,,656.82,,74.03,,112.67,,72.4,,62.58,,54.49,,26.75,,29.51,,19.26,,24.8,,14.31,,22.78,,12.49,,14.86,,15.09,,,,
NIFTY Bank,,644.49,,21.57,,85.79,,50.34,,50.95,,46.03,,22.64,,26.07,,17.56,,25.69,,15.08,,24.83,,11.07,,12.49,,13.13,,,,
NIFTY Bank Total Return Index,,644.49,,24.83,,88.2,,51.47,,55.11,,48.89,,24.07,,27.09,,18.61,,26.78,,16,,25.66,,11.71,,13.08,,13.8,,,,
NIFTY Banking and PSU Debt Index,,9.84,,5.69,,6.21,,6.39,,7.98,,6.77,,7.78,,7.32,,7.13,,7.01,,5.43,,5.41,,6.67,,6.52,,7.31,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,8,,9,
Peer Average,,18.03,,7.54,,6.14,,6.61,,9.07,,7.33,,8.07,,7.79,,7.17,,7.96,,6.26,,6.45,,6.85,,6.44,,7.48,,,,
Aditya Birla Sun Life Medium Term Plan - Regular Plan,1859.15,24.23,2,8.03,3,6.37,4,11.65,1,11.65,1,9.22,1,8.85,2,8.05,3,7.35,3,15.34,1,12.64,1,11.97,1,8.8,1,7.59,1,8.34,1,8.57,-,5.23
Axis Strategic Bond Fund - Regular Plan,1931.97,14.52,7,6.25,9,7.43,1,6.61,2,9.56,2,7.93,2,8.76,3,8.28,2,7.52,2,7.43,2,6.09,2,6.43,3,7.2,4,6.85,3,7.87,3,7.98,-,5.64
Bandhan Bond Fund Medium Term Plan - Regular Plan,1557.45,21.58,3,8.35,2,5.43,8,5.46,9,8.21,8,6.47,7,7,9,7.48,6,6.42,9,6.32,9,4.37,9,4.16,9,5.65,9,5.9,8,6.8,7,7.09,-,5.01
DSP Bond Fund - Retail Plan,356.2,16.89,4,9.25,1,6.44,3,6.35,4,7.87,9,6.35,9,7.39,8,7.42,7,6.95,8,6.96,7,5.23,8,5,8,6.08,8,5.16,9,6.51,8,7.69,-,4.02
HDFC Medium Term Debt Fund,4173.35,15.43,6,7.21,7,5.84,7,5.9,6,8.93,5,7.12,6,7.83,6,7.37,9,6.97,7,7.04,6,5.45,7,6.01,5,6.57,5,6.51,5,7.3,5,7.61,-,5.32
HSBC Medium Duration Fund - Regular Plan,809.4,13.43,9,7.49,5,6.35,5,5.9,5,9.19,3,7.78,3,8.4,4,7.79,4,7.28,4,7.19,5,5.45,6,6.17,4,6.48,6,5.96,7,-,-,6.91,-,5.23
ICICI Prudential Medium Term Bond Fund,6214.24,16.27,5,7.6,4,6.79,2,5.6,7,8.44,7,7.35,4,7.66,7,7.5,5,7.08,5,7.22,4,5.9,3,6.51,2,7.27,2,6.79,4,7.62,4,7.39,-,5.15
Kotak Medium Term Fund - Regular Plan,1744.99,25.46,1,7.33,6,4.43,9,5.59,8,9.04,4,6.41,8,8.92,1,8.82,1,7.94,1,6.9,8,5.59,5,5.91,6,6.39,7,6.05,6,7.19,6,7.38,-,5.9
SBI Magnum Medium Duration Fund,6102.24,14.5,8,6.35,8,6.22,6,6.39,3,8.74,6,7.31,5,7.84,5,7.39,8,7.03,6,7.25,3,5.64,4,5.87,7,7.24,3,7.14,2,8.2,2,7.79,-,5
CRISIL Medium Term Debt Index ( 02-Jul-2024 ) ,,7.73,,-0.14,,5.28,,6.08,,7.52,,6.43,,7.5,,6.89,,6.71,,7,,5.29,,5.45,,7.19,,6.92,,7.95,,,,
CRISIL Medium Duration Debt C-III Index ( 02-Jul-2024 ) ,,11.07,,-0.82,,6.77,,7.93,,9.29,,8.09,,8.67,,7.01,,7.87,,10.63,,8.93,,9.52,,9.35,,8.53,,9.46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra Short Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,5,,5,,8,
Peer Average,,9.45,,9.17,,7.76,,7.24,,7.04,,7,,7.32,,7.16,,7.09,,6.66,,5.66,,5.2,,5.61,,5.95,,6.62,,,,
Aditya Birla Sun Life Savings Fund - Regular Plan,13579.62,9.47,4,9.88,1,8.23,1,7.51,1,7.34,1,7.33,1,7.74,1,7.5,1,7.49,1,7.01,1,5.95,2,5.64,2,6.17,1,6.59,1,7.27,1,7.41,-,0.55
Axis Ultra Short Term Fund - Regular Plan,5152.32,10.35,1,8.77,8,7.58,6,7.01,8,6.76,8,6.7,7,7.04,7,6.86,8,6.77,8,6.37,8,5.27,7,4.89,7,5.26,7,-,-,-,-,5.65,-,0.53
Bandhan Ultra Short Term Fund - Regular Plan,3889.69,9.27,7,8.96,7,7.45,7,7.28,4,7.15,4,7.12,4,7.43,3,7.27,3,7.21,2,6.8,2,5.63,5,5.08,5,5.57,5,-,-,-,-,6.02,-,0.49
DSP Ultra Short Fund - Regular Plan,2684.08,9.46,5,9.14,6,7.45,8,7.02,7,6.77,7,6.66,8,6.95,8,7.02,7,6.89,7,6.39,7,5.25,8,4.7,8,5.07,8,5.29,5,5.98,5,6.66,-,0.48
HDFC Ultra Short Term Fund - Regular Plan,14314.83,9.57,3,9.14,3,7.86,4,7.37,3,7.17,3,7.19,2,7.5,2,7.28,2,7.2,4,6.78,4,5.66,3,5.29,3,5.76,3,-,-,-,-,6.14,-,0.49
Kotak Savings Fund - Regular Plan,12840.69,9.86,2,9.14,4,7.89,3,7.24,5,7.06,5,6.98,5,7.29,5,7.03,5,7.01,5,6.63,5,5.54,6,5.06,6,5.54,6,6.04,3,6.72,3,7.21,-,0.74
SBI Magnum Ultra Short Duration Fund,10548.21,9.36,6,9.19,2,7.95,2,7.38,2,7.17,2,7.13,3,7.41,4,7.27,4,7.21,3,6.78,3,5.64,4,5.17,4,5.65,4,6.22,2,6.72,2,7.07,-,0.49
UTI Ultra Short Duration Fund - Regular Plan,2514.62,8.29,8,9.14,5,7.65,5,7.14,6,6.89,6,6.87,6,7.17,6,7.02,6,6.98,6,6.54,6,6.37,1,5.74,1,5.89,2,5.61,4,6.44,4,6.81,-,0.47
CRISIL Ultra Short Term Debt Index ( 02-Jul-2024 ) ,,11.13,,8.72,,7.86,,7.67,,7.64,,7.63,,7.93,,7.8,,7.76,,7.4,,6.32,,5.86,,6.18,,6.61,,7.07,,,,
NIFTY Ultra Short Duration Debt Index B-I,,10.14,,8.17,,7.73,,7.86,,7.72,,7.84,,8.04,,7.9,,7.9,,7.49,,6.34,,5.81,,6.14,,6.57,,7.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overnight Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,3,,3,,7,
Peer Average,,6.37,,6.5,,6.48,,6.44,,6.47,,6.48,,6.59,,6.68,,6.72,,6.36,,5.37,,4.77,,4.69,,5.04,,5.73,,,,
Aditya Birla Sun Life Overnight Fund - Regular Plan,9220.97,6.22,6,6.44,7,6.44,7,6.42,6,6.46,6,6.46,6,6.56,6,6.66,5,6.7,5,6.36,4,5.36,4,4.77,4,4.68,6,-,-,-,-,4.85,-,0.01
HDFC Overnight Fund,11144.03,7.18,1,6.55,2,6.48,4,6.4,7,6.42,7,6.43,7,6.57,5,6.66,6,6.69,6,6.33,7,5.33,7,4.74,7,4.65,7,5.04,2,5.59,3,5.86,-,0.01
ICICI Prudential Overnight Fund,10166.12,6.22,5,6.46,6,6.46,6,6.43,5,6.47,4,6.47,4,6.65,1,6.72,2,6.75,2,6.38,3,5.37,3,4.77,3,4.68,5,-,-,-,-,4.85,-,0.01
Kotak Overnight Fund - Regular Plan,5473.56,6.25,3,6.49,4,6.5,3,6.46,3,6.49,2,6.49,3,6.57,4,6.67,4,6.71,4,6.35,5,5.36,5,4.76,6,4.68,4,-,-,-,-,4.8,-,0.01
Nippon India Overnight Fund - Regular Plan,7082.62,6.23,4,6.5,3,6.5,2,6.46,2,6.49,3,6.49,2,6.6,3,6.69,3,6.73,3,6.38,2,5.39,2,4.79,2,4.71,2,-,-,-,-,4.85,-,0.01
SBI Overnight Fund,15032.54,6.21,7,6.48,5,6.47,5,6.43,4,6.47,5,6.47,5,6.55,7,6.65,7,6.69,7,6.34,6,5.35,6,4.77,5,4.68,3,5.08,1,5.71,2,6.47,-,0
UTI Overnight Fund - Regular Plan,6064.84,6.28,2,6.56,1,6.53,1,6.49,1,6.53,1,6.54,1,6.63,2,6.73,1,6.77,1,6.41,1,5.41,1,4.82,1,4.73,1,4.99,3,5.88,1,5.97,-,0.01
CRISIL Liquid Overnight Index ( 02-Jul-2024 ) ,,6.35,,6.61,,6.6,,6.56,,6.59,,6.6,,6.7,,6.81,,6.86,,6.52,,5.53,,4.94,,4.84,,5.21,,5.76,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Year Corporate Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
Peer Average,,20.05,,6.41,,6.09,,6.91,,10.85,,7.78,,8.9,,7.93,,6.96,,7.33,,5.27,,5.23,,6.73,,6.51,,7.62,,,,
Aditya Birla Sun Life Income Fund - Regular Plan,1848.85,22.38,1,6.74,1,5.78,2,6.69,2,11.82,1,8.57,1,8.97,1,8.22,1,6.93,2,7.11,2,5.36,1,5.32,1,6.68,2,6.33,2,7.51,2,8.91,-,11.97
Axis Dynamic Bond Fund - Regular plan,1702.66,17.73,2,6.09,2,6.39,1,7.12,1,9.88,2,7,2,8.82,2,7.64,2,6.98,1,7.54,1,5.18,2,5.14,2,6.79,1,6.69,1,7.72,1,7.87,-,9.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,12,,12,,12,,11,,13,
Peer Average,,9.41,,9.1,,7.72,,7.42,,7.37,,7.13,,7.52,,7.22,,7.26,,6.89,,5.79,,5.48,,6.17,,6.23,,6.89,,,,
Aditya Birla Sun Life Floating Rate Fund - Regular Plan,12802.24,8.82,10,9.42,2,8.28,1,7.8,1,7.61,2,7.32,3,7.89,3,7.53,2,7.65,3,7.29,3,6.09,2,5.8,3,6.55,3,6.82,1,7.44,1,7.94,-,2.12
Axis Treasury Advantage Fund - Regular Plan,5468.05,9.62,5,8.81,10,7.84,3,7.43,5,7.33,4,7.23,4,7.57,4,7.29,4,7.21,5,6.88,5,5.71,5,5.42,5,6.11,4,6.49,3,6.97,4,7.41,-,1.13
Bandhan Low Duration Fund - Regular Plan,5064.23,9.47,8,9.24,8,7.45,12,7.2,12,7.22,9,6.93,11,7.24,12,7.15,7,7.02,9,6.71,7,5.48,10,5.12,11,5.82,11,6.24,8,6.94,5,7.16,-,1.01
DSP Low Duration Fund - Regular Plan,4315.8,9.51,7,9.36,5,7.72,9,7.41,6,7.28,7,7.06,6,7.38,8,7.11,9,7.02,10,6.68,8,5.53,7,5.16,9,6.06,7,6.28,7,-,-,6.77,-,1.02
HDFC Low Duration Fund,17516.3,9.05,9,9.43,1,7.78,4,7.48,4,7.16,11,7.1,5,7.38,7,7.01,11,7.2,6,6.92,4,5.59,6,5.57,4,6.11,5,6.3,6,6.78,9,7.06,-,2.06
ICICI Prudential Savings Fund,19172.2,10.7,1,9.28,6,7.91,2,7.77,2,7.48,3,7.4,2,7.95,2,7.51,3,7.79,2,7.8,1,6.05,4,5.92,2,6.57,2,6.81,2,7.39,2,7.7,-,2.18
