Weekly NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Nippon India Consumption Fund,195.8146,194.122,0.87,7,833.95
Sundaram Consumption Fund - Regular Plan,91.4978,90.1509,1.49,3,1393.03
Tata India Consumer Fund - Regular Plan,41.9104,41.2483,1.61,1,1941.77
UTI India Consumer Fund - Regular Plan,56.8093,56.533,0.49,9,602.97
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
S&P BSE 500 Index,36096.07,35440.26,1.85,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
NIFTY India Consumption Total Return Index,13926.26,13834.64,0.66,,
,,,,,
Banking & Financial Services,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,56.94,56.23,1.26,9,3069.78
HDFC Banking & Financial Services Fund - Regular Plan,15.923,15.72,1.29,7,3294.6
ICICI Prudential Banking and Financial Services Fund,121.08,119.25,1.53,3,7107.43
Invesco India Financial Services Fund,122.7,121.44,1.04,10,908.75
Kotak Banking & Financial Services Fund - Regular Plan,14.329,14.191,0.97,11,854.26
Mirae Asset Banking and Financial Services Fund - Regular Plan,18.962,18.716,1.31,5,1671.29
Nippon India Banking & Financial Services Fund,571.5951,564.0308,1.34,4,5462.71
SBI Banking & Financial Services Fund - Regular Plan,37.8108,37.1244,1.85,2,5387.33
Sundaram Financial Services Opportunities Fund - Regular Plan,100.1177,98.8421,1.29,7,1268.85
Tata Banking and Financial Services Fund - Regular Plan,39.0415,38.3125,1.9,1,2048.3
UTI Banking and Financial Services Fund - Regular Plan,173.2264,170.98,1.31,5,1056.18
NIFTY Financial Services Total Return Index,29965.53,29546.07,1.42,,
NIFTY Financial Services Index,23923.75,23592.7,1.4,,
NIFTY Bank,53089.25,52870.5,0.41,,
NIFTY Bank Total Return Index,73270.32,72923.02,0.48,,
,,,,,
Digital Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Digital India Fund - Regular Plan,166.75,161.4,3.31,3,4294.58
Franklin India Technology Fund,502.0876,488.2205,2.84,5,1435.18
ICICI Prudential Technology Fund,187.86,181.22,3.66,2,11751.34
SBI Technology Opportunities Fund,115.9864,112.4429,3.15,4,3496.62
Tata Digital India Fund - Regular Plan,46.3722,44.3928,4.46,1,9223.32
S&P BSE Teck Total Return Index,23067.19,22338.73,3.26,,
S&P BSE Teck Index,17519.19,16967.55,3.25,,
,,,,,
Dividend Yield Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,453.15,442.69,2.36,1,1366.05
HDFC Dividend Yield Fund - Regular Plan,25.065,24.556,2.07,3,5144.72
ICICI Prudential Dividend Yield Equity Fund,49.57,48.94,1.29,9,3930.84
LIC MF Dividend Yield Fund - Regular Plan,30.0884,29.5322,1.88,5,189.29
SBI Dividend Yield Fund - Regular Plan,15.316,15.0672,1.65,7,7629.65
Sundaram Dividend Yield Fund,137.5008,135.1319,1.75,6,872.3
Tata Dividend Yield Fund - Regular Plan,18.4512,18.161,1.6,8,927.04
Templeton India Equity Income Fund,138.89,136.0864,2.06,4,2210.68
UTI Dividend Yield Fund - Regular Plan,171.1963,167.4939,2.21,2,3776.13
NIFTY Dividend Opportunities 50 Total Return Index,9614.19,9391.5,2.37,,
NIFTY Dividend Opportunities 50 Index,6326.2,6180.55,2.36,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
NIFTY 500 Total Return Index,35966.18,35308.41,1.86,,
,,,,,
PSU Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,35.64,35.05,1.68,3,4711.18
ICICI Prudential PSU Equity Fund,21.21,20.87,1.63,4,2588.85
Invesco India PSU Equity Fund,68.16,66.72,2.16,1,1362.82
SBI PSU Fund,33.1138,32.4774,1.96,2,3071.3
S&P BSE PSU Total Return Index,35264.36,34505.89,2.2,,
S&P BSE PSU Index,21476.81,21035.1,2.1,,
NIFTY PSE Index,10888.05,10543.15,3.27,,
NIFTY PSE Total Return Index,18826.3,18221.44,3.32,,
,,,,,
Make in India,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,32.23,31.59,2.03,3,1005.6
Axis India Manufacturing Fund - Regular Plan,14.11,13.81,2.17,1,5193.03
ICICI Prudential Manufacturing Fund,36.06,35.31,2.12,2,4841.52
Kotak Manufacture in India Fund - Regular Plan,19.045,18.676,1.98,4,2098.36
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
S&P BSE 500 Index,36096.07,35440.26,1.85,,
S&P BSE India Manufacturing Index,1061.21,1041.2,1.92,,
S&P BSE India Manufacturing Total Return Index,1429.23,1402.14,1.93,,
,,,,,
Special Opportunities,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,23.19,22.85,1.49,2,714.83
Axis Innovation Fund - Regular Plan,17.9,17.62,1.59,1,1208.96
Franklin India Opportunities Fund,245.7945,244.3278,0.6,4,3933.36
ICICI Prudential India Opportunities Fund,32.66,32.2,1.43,3,19792.23
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
,,,,,
Pharma & Healthcare Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,27.31,26.97,1.26,7,683.18
DSP Healthcare Fund - Regular Plan,33.966,32.988,2.96,1,2363.39
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,32.61,31.99,1.94,3,3925.29
Mirae Asset Healthcare Fund - Regular Plan,32.966,32.234,2.27,2,2201.96
Nippon India Pharma Fund,448.8478,443.2537,1.26,7,7160.93
SBI Healthcare Opportunities Fund,359.7832,354.6062,1.46,6,2612.73
Tata India Pharma & Healthcare Fund - Regular Plan,26.5238,26.0601,1.78,4,899.17
UTI Healthcare Fund - Regular Plan,237.9332,233.7668,1.78,4,938.43
S&P BSE Healthcare Total Return Index,43032.06,42181.36,2.02,,
,,,,,
Infrastructure Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,99.45,98.01,1.47,11,1146.32
Bandhan Infrastructure Fund - Regular Plan,55.735,54.189,2.85,1,1342.96
DSP India T.I.G.E.R. Fund - Regular Plan,337.159,330.243,2.09,3,4385.95
Franklin Build India Fund,144.3837,143.218,0.81,14,2530.26
HDFC Infrastructure Fund,49.046,48.279,1.59,9,2054.8
HSBC Infrastructure Fund,51.4631,50.442,2.02,5,2620.55
ICICI Prudential Infrastructure Fund,192.18,189.02,1.67,8,5034.14
Invesco India Infrastructure Fund,68.38,67,2.06,4,1470.37
Kotak Infrastructure and Economic Reform Fund - Standard Plan,71.666,70.416,1.78,7,1989.53
Nippon India Power & Infra Fund,374.3519,368.7312,1.52,10,5697.01
SBI Infrastructure Fund,53.0359,52.4831,1.05,12,3087.55
Sundaram Infrastructure Advantage Fund - Regular Plan,97.8142,95.9652,1.93,6,998.37
Tata Infrastructure Fund - Regular Plan,201.803,197.1175,2.38,2,2245.06
UTI Infrastructure Fund - Regular Plan,147.8924,146.5002,0.95,13,2287.67
NIFTY Infrastructure Total Return Index,11829.07,11665.56,1.4,,
NIFTY Infrastructure Index,9141.65,9015.3,1.4,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
,,,,,
Equity Savings,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,22.54,22.43,0.49,2,535.67
Bandhan Equity Savings Fund - Direct Plan,32.364,32.197,0.52,1,118.67
Franklin India Equity Savings Fund - Direct Plan,16.6752,16.6074,0.41,4,584.73
ICICI Prudential Equity Savings Fund - Direct Plan,22.26,22.19,0.32,6,10278.86
Nippon India Equity Savings Fund - Direct Plan,16.6337,16.5619,0.43,3,447.8
PGIM India Equity Savings Fund - Direct Plan,52.1531,51.9456,0.4,5,92.15
CRISIL Short-Term Bond Total Return Index,-,4670.78,-,,
NIFTY Equity Savings Total Return Index,5869.63,5828.56,0.7,,
,,,,,
Resurgent Series,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
S&P BSE 200 Index,11238.43,11036.42,1.83,,
NIFTY 200 Index,13737.6,13496.15,1.79,,
NIFTY 200 Total Return Index,18068.67,17748.3,1.81,,
,,,,,
Conservative Hybrid,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,68.1184,67.7774,0.5,6,1386.89
Axis Regular Saver Fund - Direct Plan,32.4682,32.3159,0.47,8,330.09
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,50.6219,50.3387,0.56,2,646.32
Canara Robeco Conservative Hybrid Fund - Direct Plan,102.4209,101.857,0.55,3,972.98
Franklin India Debt Hybrid Fund - Direct Plan,92.0004,91.6666,0.36,11,238.4
HDFC Hybrid Debt Fund - Direct Plan,81.7258,81.3358,0.48,7,3182.24
ICICI Prudential Regular Savings Fund - Direct Plan,75.9948,75.6418,0.47,8,3337.8
Kotak Debt Hybrid Fund - Direct Plan,62.6587,62.3728,0.46,10,2477.8
Nippon India Hybrid Bond Fund - Direct Plan,58.3941,58.1968,0.34,12,813.88
Parag Parikh Conservative Hybrid Fund - Direct Plan,13.9296,13.8487,0.58,1,1986.62
SBI Conservative Hybrid Fund - Direct Plan,74.0723,73.6934,0.51,5,9823.59
UTI Conservative Hybrid Fund - Direct Plan,69.3135,68.9429,0.54,4,1588.2
CRISIL Hybrid 85+15 Conservative Index,-,6654.55,-,,
,,,,,
Pure International Plan,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life International Equity Fund - Regular Plan,32.6332,32.5969,0.11,4,186.86
Kotak Global Emerging Market - Regular Plan,22.636,22.443,0.86,2,91.68
PGIM India Emerging Markets Equity Fund,14.68,14.53,1.03,1,99.57
Sundaram Global Brand Fund,30.7561,30.5477,0.68,3,114.78
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
S&P Global 1200 Total Return Index,-,594900.52,-,,
,,,,,
Arbitrage Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,24.8563,24.8179,0.15,6,12683.86
Axis Arbitrage Fund - Regular Plan,17.5063,17.4805,0.15,6,4938.62
Bandhan Arbitrage Fund - Regular Plan,30.3792,30.332,0.16,2,6202.72
DSP Arbitrage Fund - Regular Plan,13.999,13.977,0.16,2,5226.64
Edelweiss Arbitrage Fund - Regular Plan,18.1392,18.112,0.15,6,11768.88
HDFC Arbitrage Fund - Wholesale Plan,28.668,28.622,0.16,2,12297.96
HSBC Arbitrage Fund - Regular Plan,17.8047,17.778,0.15,6,2274.14
ICICI Prudential Equity Arbitrage Fund,32.0752,32.0269,0.15,6,20894.12
Invesco India Arbitrage Fund,29.8506,29.8045,0.15,6,16489.76
Kotak Equity Arbitrage Fund - Regular Plan,35.041,34.9787,0.18,1,46307.74
Nippon India Arbitrage Fund,24.8878,24.8493,0.15,6,15157.75
SBI Arbitrage Opportunities Fund,31.6222,31.575,0.15,6,31116.02
Tata Arbitrage Fund - Regular Plan,13.444,13.4229,0.16,2,11828.86
UTI Arbitrage Fund - Regular Plan,32.7466,32.6974,0.15,6,5258.55
NIFTY 50 Arbitrage Total Return Index ,2347.16,2346.79,0.02,,
,,,,,
Banking ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty Bank ETF,53.7922,53.5425,0.47,2,2591.3
DSP Nifty Bank ETF,53.7303,53.4786,0.47,2,201.73
HDFC NIFTY Bank ETF,54.025,53.7758,0.46,6,2364.43
ICICI Prudential Nifty Bank ETF,53.8638,53.6146,0.46,6,3270.32
Kotak Nifty Bank ETF,544.7266,542.1381,0.48,1,5707.7
Nippon India ETF Nifty Bank BeES,543.8056,541.2894,0.46,6,6505.45
SBI Nifty Bank ETF,539.2354,536.7394,0.47,2,4284.46
UTI Nifty Bank ETF,54.2411,53.9887,0.47,2,3277.67
NIFTY Bank Total Return Index,73270.32,72923.02,0.48,,
,,,,,
Index Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.3027,1.76,1,2291.29
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,239.5269,1.75,5,841.35
Bandhan Nifty 50 Index Fund - Regular Plan,51.9826,51.091,1.75,5,1265.7
Franklin India NSE Nifty 50 Index,194.2569,190.9263,1.74,12,657.69
HDFC Index Fund Nifty 50 Plan,228.191,224.263,1.75,5,14219.56
ICICI Prudential Nifty 50 ETF,268.6215,263.9829,1.76,1,15870.66
ICICI Prudential Nifty 50 Index Fund,242.0953,237.9312,1.75,5,8941.14
Kotak Nifty 50 ETF,263.0121,258.4673,1.76,1,2278.8
Nippon India ETF Nifty 50 BeES,270.061,265.398,1.76,1,27031.1
Nippon India Index Fund - Nifty 50 Plan,40.8534,40.1523,1.75,5,1648.68
SBI Nifty Index Fund,212.8289,209.1615,1.75,5,7431.36
UTI Nifty 50 Index Fund - Regular Plan,165.1442,162.3044,1.75,5,16924.52
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
,,,,,
FoFs-Moderate Plans,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.1017,1.15,1,34.53
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,38.0746,37.6936,1.01,3,18.44
HSBC Managed Solutions India - Moderate - Regular Plan,33.7652,33.4034,1.08,2,56.53
ICICI Prudential Asset Allocator (FOF) Fund,-,108.927,-,,21776.9
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
CRISIL Hybrid 50+50 Moderate Index,-,14517.67,-,,
,,,,,
Commodity Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5193,-,,267.44
DSP World Energy Fund - Regular Plan,17.8184,17.7959,0.13,2,140.86
DSP World Gold FoF - Regular Plan,19.3847,18.5826,4.32,1,907.21
S&P Global Agribusiness Total Return Index,-,670714.49,-,,
S&P Global 1200 Total Return Index,-,594900.52,-,,
,,,,,
Dynamic Allocation Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,32.5627,32.1089,1.41,4,210.21
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,110.84,109.87,0.88,19,7181.78
Axis Balanced Advantage Fund - Direct Plan,21.61,21.36,1.17,8,2183.67
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,40.5032,40.0931,1.02,12,18.44
Bandhan Balanced Advantage Fund - Direct Plan,26.15,25.888,1.01,13,2216.86
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,24.6947,24.4772,0.89,18,3833.86
DSP Dynamic Asset Allocation Fund - Direct Plan,29.044,28.857,0.65,23,3125.59
Edelweiss Balanced Advantage Fund - Direct Plan,55.21,54.52,1.27,6,11281.66
Franklin India Balanced Advantage Fund - Direct Plan,14.0368,13.9782,0.42,26,1912.01
Franklin India Dynamic Asset Allocation Fund of Funds - Direct Plan,173.6726,172.4615,0.7,22,1294.88
HDFC Asset Allocator FoF - Direct Plan,17.25,17.11,0.82,21,3053.79
HDFC Balanced Advantage Fund - Direct Plan,534.765,528.743,1.14,9,86471.32
HSBC Balanced Advantage Fund - Direct Plan,47.0169,46.5673,0.97,15,1389.99
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,-,119.0342,-,,21776.9
ICICI Prudential Balanced Advantage Fund - Direct Plan,75.01,74.65,0.48,25,56750.35
Kotak Balanced Advantage Fund - Direct Plan,20.768,20.5,1.31,5,15830.08
Kotak Multi Asset Allocator FoF -  Dynamic - Direct Plan,232.527,230.399,0.92,17,1453.75
LIC MF Balanced Advantage Fund - Direct Plan,13.5602,13.3391,1.66,2,868.01
Mirae Asset Balanced Advantage Fund - Direct Plan,13.64,13.505,1,14,1589.97
Nippon India Asset Allocator FoF - Direct Plan,20.138,19.8239,1.58,3,223.94
Nippon India Balanced Advantage Fund - Direct Plan,187.2922,185.2131,1.12,10,8042.99
NJ Balanced Advantage Fund - Direct Plan,14.22,13.86,2.6,1,3860.71
PGIM India Balanced Advantage Fund - Direct Plan,15.56,15.37,1.24,7,1102.25
Quantum Multi Asset Fund of Funds - Direct Plan,31.4457,31.187,0.83,20,55.6
SBI Balanced Advantage Fund - Direct Plan,14.9145,14.8199,0.64,24,30096.32
Tata Balanced Advantage Fund - Direct Plan,21.7268,21.5185,0.97,15,9275.7
Union Balanced Advantage Fund - Direct Plan,20.79,20.56,1.12,10,1594.75
CRISIL Hybrid 50+50 Moderate Index,-,14517.67,-,,
,,,,,
Asset Allocator Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,62.3491,61.4921,1.39,2,210.21
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,43.38,42.8209,1.31,4,17.92
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,31.3351,31.1627,0.55,11,6.14
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,38.0746,37.6936,1.01,6,18.44
Franklin India Dynamic Asset Allocation Fund of Funds,155.1003,154.0456,0.68,10,1294.88
Franklin India Multi Asset Solution Fund of Funds,18.5547,18.4102,0.78,9,53.6
HDFC Asset Allocator FoF - Regular Plan,16.61,16.47,0.85,8,3053.79
ICICI Prudential Asset Allocator (FOF) Fund,-,108.927,-,,21776.9
Kotak Multi Asset Allocator FoF -  Dynamic Regular Plan,217.595,215.632,0.91,7,1453.75
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,16.1042,15.8924,1.33,3,65.57
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,14.3161,14.1663,1.06,5,41.39
Nippon India Asset Allocator FoF - Regular Plan,19.4529,19.1529,1.57,1,223.94
CRISIL Hybrid 50+50 Moderate Index,-,14517.67,-,,
,,,,,
Financial Planning Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,50.7867,50.0562,1.46,1,203.07
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,31.7618,31.5082,0.8,3,18.27
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.1017,1.15,2,34.53
,,,,,
International Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5193,-,,267.44
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan,-,31.8939,-,,189.99
DSP World Energy Fund - Regular Plan,17.8184,17.7959,0.13,8,140.86
DSP World Mining Fund - Regular Plan,16.4476,16.0135,2.71,1,165.75
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan,15.3958,15.3818,0.09,9,110.66
Franklin India Feeder - Templeton European Opportunities Fund,10.4581,10.264,1.89,3,16.26
Franklin India Feeder Franklin US Opportunities Fund,68.284,67.6729,0.9,5,3427.18
HSBC Brazil Fund,6.6041,6.4562,2.29,2,36.82
HSBC Global Emerging Markets Fund,18.8599,18.9259,-0.35,10,32.85
Kotak Global Emerging Market - Regular Plan,22.636,22.443,0.86,6,91.68
PGIM India Emerging Markets Equity Fund,14.68,14.53,1.03,4,99.57
PGIM India Global Equity Opportunities Fund,42.6,42.26,0.8,7,1380.08
S&P Global 1200 Total Return Index,-,594900.52,-,,
MSCI All Country World Index,-,-,-,,
Nasdaq 100 Total Return Index,-,1984284.45,-,,
Nasdaq 100 Index,-,-,-,,
,,,,,
Gold FoF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.2179,0.98,8,353.76
Axis Gold Fund,21.6424,21.4336,0.97,9,495.31
Edelweiss Gold and Silver ETF FoF - Regular Plan,14.665,14.447,1.51,1,95.98
HDFC Gold Fund,22.0948,21.9495,0.66,12,2041.53
ICICI Prudential Regular Gold Savings Fund (FOF),22.8999,22.6581,1.07,5,965.8
Invesco India Gold ETF FoF,21.0386,20.7889,1.2,3,74.93
Kotak Gold Fund - Regular Plan,28.4795,28.2329,0.87,11,1864.33
LIC MF Gold ETF FoF,19.1754,19.1167,0.31,13,54.11
Motilal Oswal Gold and Silver ETFs FoF - Regular Plan,14.2389,14.0298,1.49,2,71.34
Nippon India Gold Savings Fund,28.3042,28.0234,1,6,1877.33
Quantum Gold Savings - Regular Plan,27.8678,27.5937,0.99,7,116.72
SBI Gold Fund,21.6036,21.4119,0.9,10,1871.57
UTI Gold ETF FoF - Regular Plan,14.0371,13.8799,1.13,4,99.54
Domestic Price of Gold,-,7107.7,-,,
,,,,,
Liquid Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Liquid Fund - Direct Plan,397.1499,396.4818,0.17,1,44331.38
Axis Liquid Fund - Direct Plan,2734.6507,2730.0882,0.17,1,36518.03
Bandhan Liquid Fund - Direct Plan,2972.4505,2967.601,0.16,13,14555.72
Baroda BNP Paribas Liquid Fund - Direct Plan,2837.2993,2832.6767,0.16,13,8972.71
DSP Liquidity Fund - Direct Plan,3516.795,3510.9172,0.17,1,13929.36
Edelweiss Liquid Fund - Direct Plan,3178.3584,3173.2675,0.16,13,5095.66
HDFC Liquid Fund - Direct Plan,4833.261,4825.2856,0.17,1,56818.19
HSBC Liquid Fund - Direct Plan,2451.5278,2447.4219,0.17,1,20247.52
ICICI Prudential Liquid Fund - Direct Plan,364.2259,363.6191,0.17,1,46422.7
Invesco India Liquid Fund - Direct Plan,3377.4099,3371.8312,0.17,1,10028.36
Kotak Liquid - Direct Plan,4971.4341,4963.1483,0.17,1,31894.31
LIC MF Liquid Fund - Direct Plan,4468.6722,4461.3214,0.16,13,12530.22
Mirae Asset Liquid Fund - Direct Plan,2598.7002,2594.4487,0.16,13,11570.11
Nippon India Liquid Fund - Direct Plan,6021.4701,6011.41,0.17,1,33603.87
SBI Liquid Fund - Direct Plan,3850.3781,3843.9566,0.17,1,70911.57
Tata Liquid Fund - Direct Plan,3882.3551,3875.8844,0.17,1,21011.58
UTI Liquid Fund - Direct Plan,4033.163,4026.4211,0.17,1,28028.74
CRISIL Liquid Fund Total Return Index,-,4095.36,-,,
CRISIL Liquid Fund BI Index,-,4070.13,-,,
,,,,,
Corporate Bond Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,105.2671,105.0843,0.17,4,22042.26
Axis Corporate Debt Fund - Direct Plan,16.4811,16.4557,0.15,5,5282.11
Bandhan Corporate Bond Fund - Direct Plan,18.1477,18.1145,0.18,1,13808.94
HDFC Corporate Bond Fund - Direct Plan,30.478,30.4325,0.15,5,28959.05
HSBC Corporate Bond Fund - Direct Plan,71.2215,71.0906,0.18,1,5965.27
ICICI Prudential Corporate Bond Fund - Direct Plan,28.6975,28.6472,0.18,1,27285.73
Invesco India Corporate Bond Fund - Direct Plan,3115.7961,3111.0986,0.15,5,3528.03
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,3602.3744,3597.5755,0.13,10,12541.1
SBI Corporate Bond Fund - Direct Plan,14.6102,14.5886,0.15,5,20025.72
UTI Corporate Bond Fund - Direct Plan,15.3439,15.3223,0.14,9,3856.33
NIFTY Corporate Bond Total Return Index,5800.04,5794.23,0.1,,
NIFTY Corporate Bond Index B-II,5780.14,5774.5,0.1,,
,,,,,
Short Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Short Term Fund - Direct Plan,47.101,47.0236,0.16,4,7497.01
Axis Short Term Fund - Direct Plan,30.8035,30.7523,0.17,3,8006.89
Bandhan Bond Fund Short Term Plan - Direct Plan,56.0084,55.8936,0.21,1,8759.17
DSP Short Term Fund - Direct Plan,46.3694,46.2998,0.15,10,2972.58
HDFC Short Term Debt Fund - Direct Plan,30.2756,30.228,0.16,4,13055.75
HSBC Short Duration Fund - Direct Plan,25.6995,25.6504,0.19,2,3833.84
ICICI Prudential Short Term Fund - Direct Plan,60.0977,59.999,0.16,4,18252.31
Kotak Bond - Short Term Fund - Direct Plan,52.5163,52.4374,0.15,10,14949.4
Nippon India Short Term Fund - Direct Plan,52.365,52.2808,0.16,4,5511.4
SBI Short Term Debt Fund - Direct Plan,31.2526,31.2016,0.16,4,12785.19
Tata Short Term Bond Fund - Direct Plan,48.6391,48.5594,0.16,4,2210.08
UTI Short Duration Fund - Direct Plan,30.9651,30.941,0.08,12,2673.12
CRISIL Short-Term Bond Total Return Index,-,4670.78,-,,
NIFTY Short Duration Debt Index B-II,5440.14,5433.72,0.12,,
,,,,,
Dynamic Bond Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
360 ONE Dynamic Bond Fund - Direct Plan,21.6261,21.5976,0.13,5,734.01
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,45.2906,45.2269,0.14,3,1698.57
Axis Dynamic Bond Fund - Direct Plan,29.7615,29.7249,0.12,6,1702.66
Bandhan Dynamic Bond Fund - Direct Plan,35.1914,35.1738,0.05,12,2366.01
DSP Strategic Bond Fund - Direct Plan,3315.5191,3312.0958,0.1,9,1015.21
HDFC Dynamic Debt Fund - Direct Plan,90.9873,90.8828,0.11,7,679.4
ICICI Prudential All Seasons Bond Fund - Direct Plan,36.383,36.3336,0.14,3,12570.68
Kotak Dynamic Bond Fund - Direct Plan,37.4887,37.4465,0.11,7,2517.92
Mirae Asset Dynamic Bond Fund - Direct Plan,16.2561,16.2322,0.15,1,152.53
Nippon India Dynamic Bond Fund - Direct Plan,36.3906,36.3622,0.08,11,4606.22
SBI Dynamic Bond Fund - Direct Plan,35.8895,35.8374,0.15,1,3093.78
